year,store_id,product_id,promotion,holiday,weekday,month,price_level,stock_level,sales_class
2000,84,7,1,0,1,2,1,944,1
2000,92,189,1,1,2,3,5,554,0
2000,60,83,1,1,3,3,3,92,1
2000,71,351,0,0,4,3,3,144,0
2000,44,420,1,1,5,3,4,839,2
2000,8,283,1,1,6,3,2,426,2
2000,47,124,0,0,0,3,1,950,1
2000,35,157,1,0,1,3,3,445,0
2000,78,87,1,0,2,3,5,756,0
2000,81,148,1,1,3,3,2,277,1
2000,36,70,0,0,4,3,5,272,0
2000,50,460,0,0,5,3,4,249,0
2000,4,370,0,1,6,3,1,67,1
2000,2,76,1,1,0,3,5,147,1
2000,6,114,1,1,1,3,1,924,2
2000,54,3,0,1,2,3,5,685,0
2000,4,234,0,1,3,3,3,397,0
2000,54,167,0,1,4,3,3,414,1
2000,93,99,0,1,5,3,4,30,0
2000,63,124,0,1,6,3,2,770,2
2000,18,467,0,1,0,3,1,990,1
2000,90,45,0,0,1,3,2,533,0
2000,44,382,1,1,2,3,2,125,2
2000,34,324,1,0,3,3,2,180,0
2000,74,287,0,1,4,3,2,565,1
2000,62,106,1,0,5,3,2,26,1
2000,100,294,0,1,6,3,5,927,1
2000,14,481,1,0,0,3,2,471,0
2000,95,134,1,1,1,3,1,286,1
2000,48,8,0,1,2,3,3,991,0
2000,15,28,1,0,3,3,2,883,1
2000,72,271,1,0,4,3,4,678,0
2000,78,223,1,1,5,4,1,957,2
2000,87,8,1,1,6,4,5,568,2
2000,62,310,0,1,0,4,3,322,1
2000,40,134,0,1,1,4,3,102,0
2000,85,29,1,1,2,4,3,829,1
2000,80,115,1,1,3,4,4,346,1
2000,82,494,0,1,4,4,2,288,1
2000,53,34,1,1,5,4,5,59,1
2000,24,7,0,0,6,4,5,413,0
2000,26,40,1,0,0,4,5,396,0
2000,89,330,1,0,1,4,2,147,0
2000,60,397,1,1,2,4,5,455,1
2000,41,62,0,1,3,4,5,647,0
2000,29,86,1,0,4,4,3,482,0
2000,15,213,0,0,5,4,2,75,0
2000,45,116,0,1,6,4,1,404,2
2000,65,65,0,1,0,4,1,140,1
2000,89,297,0,1,1,4,1,757,1
2000,71,379,1,0,2,4,4,29,0
2000,9,170,0,0,3,4,3,477,0
2000,88,116,0,0,4,4,5,560,0
2000,1,322,0,1,5,4,3,185,1
2000,8,116,0,1,6,4,2,813,2
2000,88,221,1,0,0,4,2,1,0
2000,63,395,0,1,1,4,3,914,1
2000,11,357,0,0,2,4,2,794,0
2000,81,50,0,0,3,4,3,134,0
2000,8,327,0,1,4,4,3,689,0
2000,35,419,1,1,5,4,3,218,2
2000,35,478,0,1,6,4,1,308,2
2000,33,336,1,1,0,5,5,73,1
2000,5,79,0,0,1,5,2,808,0
2000,41,488,1,0,2,5,5,139,0
2000,28,20,0,0,3,5,5,400,0
2000,7,412,0,0,4,5,3,967,0
2000,73,379,0,1,5,5,5,823,0
2000,72,37,0,0,6,5,3,588,0
2000,12,259,1,0,0,5,2,119,0
2000,34,93,0,0,1,5,4,532,0
2000,33,187,1,0,2,5,5,507,0
2000,48,357,0,1,3,5,5,840,0
2000,23,201,0,0,4,5,5,740,0
2000,62,411,1,1,5,5,3,269,1
2000,88,288,0,1,6,5,1,363,2
2000,37,48,1,0,0,5,3,21,0
2000,99,253,0,1,1,5,3,904,1
2000,44,46,0,1,2,5,3,5,0
2000,86,370,1,0,3,5,2,924,0
2000,91,231,0,0,4,5,2,121,0
2000,35,95,1,1,5,5,4,683,2
2000,65,303,0,0,6,5,5,15,0
2000,99,218,0,1,0,5,4,737,1
2000,47,40,1,1,1,5,1,299,1
2000,78,387,0,0,2,5,2,796,0
2000,3,203,0,0,3,5,3,532,0
2000,1,116,1,0,4,5,2,577,0
2000,5,413,1,0,5,5,2,583,1
2000,90,91,0,1,6,5,1,291,2
2000,14,58,1,1,0,5,1,130,2
2000,27,434,1,1,1,5,5,952,1
2000,9,495,1,1,2,5,2,752,1
2000,79,10,0,0,3,6,1,816,0
2000,15,256,0,1,4,6,4,40,0
2000,90,317,0,1,5,6,2,740,2
2000,42,249,1,1,6,6,3,603,2
2000,77,483,0,1,0,6,5,433,0
2000,51,367,0,0,1,6,2,13,0
2000,63,377,0,0,2,6,5,918,0
2000,96,317,0,0,3,6,5,623,0
2000,52,407,0,1,4,6,1,833,1
2000,96,6,1,1,5,6,1,679,2
2000,4,331,1,0,6,6,2,660,1
2000,94,188,1,0,0,6,5,732,0
2000,23,235,0,1,1,6,4,224,0
2000,15,371,1,1,2,6,1,810,2
2000,43,411,0,1,3,6,1,941,1
2000,29,183,1,1,4,6,1,431,2
2000,36,287,0,1,5,6,1,984,1
2000,13,123,0,0,6,6,5,196,0
2000,32,158,1,0,0,6,4,285,0
2000,71,323,1,0,1,6,1,935,1
2000,59,13,1,0,2,6,4,297,0
2000,86,315,1,1,3,6,5,987,1
2000,28,54,0,1,4,6,3,496,0
2000,66,360,0,1,5,6,3,498,1
2000,42,277,0,0,6,6,3,23,0
2000,45,43,1,0,0,6,2,208,0
2000,62,267,0,1,1,6,4,314,0
2000,57,109,0,0,2,6,5,192,0
2000,6,323,0,1,3,6,2,565,0
2000,28,166,0,1,4,6,3,826,1
2000,28,351,1,0,5,7,3,233,1
2000,44,408,1,0,6,7,3,893,1
2000,84,106,1,1,0,7,5,334,0
2000,30,51,1,0,1,7,3,315,0
2000,62,204,0,0,2,7,4,549,0
2000,75,445,0,0,3,7,3,897,0
2000,92,302,1,0,4,7,2,704,1
2000,89,43,1,0,5,7,3,903,1
2000,62,283,1,0,6,7,2,995,1
2000,97,85,0,0,0,7,1,522,0
2000,1,217,1,0,1,7,5,937,0
2000,27,158,0,0,2,7,4,243,0
2000,62,350,0,1,3,7,3,694,1
2000,77,127,1,0,4,7,3,424,0
2000,3,191,1,1,5,7,3,491,2
2000,70,266,1,1,6,7,3,493,2
2000,72,387,1,1,0,7,2,228,1
2000,27,461,1,0,1,7,5,642,0
2000,9,60,1,0,2,7,2,650,0
2000,62,283,0,0,3,7,3,315,0
2000,37,466,1,1,4,7,2,649,1
2000,97,379,1,0,5,7,3,139,0
2000,51,429,0,1,6,7,1,963,2
2000,44,62,0,0,0,7,2,896,0
2000,24,408,0,0,1,7,5,807,0
2000,79,302,1,0,2,7,1,38,1
2000,59,126,0,1,3,7,4,511,0
2000,32,462,0,1,4,7,2,15,1
2000,96,487,1,0,5,7,2,883,2
2000,88,172,1,0,6,7,4,354,0
2000,52,63,0,1,0,7,5,408,0
2000,62,260,1,1,1,8,1,923,2
2000,58,16,1,0,2,8,4,251,0
2000,52,179,1,1,3,8,5,938,1
2000,12,330,0,1,4,8,1,774,1
2000,39,368,1,0,5,8,5,847,1
2000,2,101,1,0,6,8,5,848,1
2000,3,475,0,0,0,8,3,372,0
2000,56,176,0,0,1,8,2,251,0
2000,81,193,0,1,2,8,1,668,1
2000,59,453,0,0,3,8,3,202,0
2000,2,461,1,1,4,8,1,81,2
2000,2,301,1,0,5,8,3,633,1
2000,92,387,1,1,6,8,1,331,2
2000,54,273,1,0,0,8,2,979,1
2000,87,467,1,1,1,8,5,702,1
2000,96,421,1,0,2,8,2,138,0
2000,97,261,1,0,3,8,1,896,1
2000,1,175,0,0,4,8,2,638,0
2000,19,234,1,0,5,8,1,795,1
2000,2,300,1,0,6,8,4,118,0
2000,53,216,0,0,0,8,4,45,0
2000,44,491,1,0,1,8,1,337,0
2000,90,417,0,0,2,8,4,514,0
2000,32,247,0,1,3,8,5,141,0
2000,70,21,1,0,4,8,1,678,0
2000,32,451,0,1,5,8,3,536,1
2000,68,324,1,0,6,8,4,162,0
2000,55,243,0,0,0,8,5,285,0
2000,75,288,0,0,1,8,1,935,0
2000,56,280,1,1,2,8,3,979,2
2000,17,244,1,1,3,8,5,606,1
2000,38,163,0,1,4,9,4,121,0
2000,24,146,0,1,5,9,1,742,2
2000,69,67,1,1,6,9,4,906,1
2000,98,103,1,0,0,9,3,577,0
2000,70,310,0,1,1,9,1,38,0
2000,86,410,1,1,2,9,5,283,1
2000,11,444,0,1,3,9,4,191,0
2000,16,125,1,1,4,9,2,230,1
2000,97,117,1,1,5,9,5,642,1
2000,73,472,0,1,6,9,4,376,1
2000,59,251,1,1,0,9,2,83,1
2000,70,321,0,0,1,9,3,585,0
2000,80,435,0,1,2,9,1,219,1
2000,93,370,0,1,3,9,3,374,0
2000,3,226,0,0,4,9,3,880,0
2000,20,188,1,0,5,9,1,773,1
2000,59,187,1,0,6,9,5,492,1
2000,36,76,0,0,0,9,4,163,0
2000,19,273,1,1,1,9,3,898,2
2000,90,469,1,1,2,9,5,980,1
2000,67,149,1,1,3,9,2,598,1
2000,19,195,1,1,4,9,3,531,2
2000,20,364,1,0,5,9,5,453,0
2000,96,284,1,1,6,9,5,243,1
2000,71,473,0,1,0,9,4,120,0
2000,52,44,1,1,1,9,3,440,1
2000,33,454,1,1,2,9,1,563,2
2000,40,446,0,1,3,9,4,776,0
2000,39,170,0,1,4,9,1,616,1
2000,82,94,0,0,5,9,1,74,1
2000,1,224,1,0,6,10,5,490,0
2000,11,278,0,1,0,10,1,323,1
2000,92,38,0,0,1,10,1,453,0
2000,57,270,1,0,2,10,4,305,0
2000,89,482,0,1,3,10,3,645,1
2000,50,235,1,0,4,10,4,554,0
2000,23,111,1,0,5,10,5,823,1
2000,31,378,1,0,6,10,3,16,0
2000,94,410,1,1,0,10,4,799,1
2000,42,168,1,1,1,10,3,983,1
2000,99,54,1,0,2,10,2,266,1
2000,7,397,1,1,3,10,4,234,0
2000,16,127,1,1,4,10,3,153,1
2000,90,478,0,1,5,10,1,145,2
2000,60,275,0,1,6,10,2,541,1
2000,2,42,1,1,0,10,1,703,2
2000,1,41,1,0,1,10,2,362,0
2000,48,50,1,1,2,10,5,671,1
2000,12,487,1,0,3,10,3,568,0
2000,69,387,1,1,4,10,2,61,1
2000,37,159,0,1,5,10,3,390,1
2000,32,332,0,0,6,10,5,900,0
2000,9,399,1,0,0,10,2,761,1
2000,99,182,0,0,1,10,3,837,0
2000,19,181,0,0,2,10,4,141,0
2000,48,429,1,1,3,10,3,979,1
2000,80,166,1,0,4,10,3,850,0
2000,3,232,1,1,5,10,3,992,2
2000,20,206,0,1,6,10,1,102,1
2000,24,355,1,0,0,10,2,813,1
2000,54,464,1,0,1,10,3,11,0
2000,33,50,1,0,2,11,5,382,0
2000,24,408,0,1,3,11,3,82,1
2000,75,401,0,0,4,11,3,486,0
2000,72,146,1,1,5,11,4,49,2
2000,36,298,1,0,6,11,4,875,1
2000,38,145,0,0,0,11,4,846,0
2000,84,16,0,1,1,11,1,72,1
2000,99,85,1,1,2,11,5,424,1
2000,89,216,1,0,3,11,2,464,1
2000,99,482,0,1,4,11,5,519,0
2000,25,52,0,0,5,11,4,770,0
2000,93,36,0,0,6,11,5,819,0
2000,18,107,0,1,0,11,1,845,1
2000,82,219,0,0,1,11,3,138,0
2000,66,423,1,1,2,11,4,559,1
2000,54,337,1,1,3,11,2,139,1
2000,35,409,1,0,4,11,1,244,1
2000,80,371,0,0,5,11,5,818,0
2000,61,486,1,1,6,11,2,515,2
2000,41,298,1,1,0,11,2,625,2
2000,100,254,1,0,1,11,4,656,0
2000,33,405,1,0,2,11,3,882,0
2000,68,68,0,0,3,11,1,796,0
2000,33,473,1,0,4,11,5,621,0
2000,14,187,0,0,5,11,5,406,0
2000,21,124,1,1,6,11,1,61,2
2000,48,30,0,1,0,11,1,503,1
2000,20,185,1,1,1,11,2,639,2
2000,8,289,1,1,2,11,3,78,1
2000,7,359,0,1,3,11,3,139,1
2000,67,474,0,1,4,12,4,559,0
2000,17,473,0,0,5,12,5,416,0
2000,33,53,0,1,6,12,5,396,0
2000,48,400,1,0,0,12,1,350,0
2000,76,177,1,1,1,12,4,969,1
2000,59,472,0,1,2,12,3,482,1
2000,86,133,1,1,3,12,3,165,1
2000,22,362,1,0,4,12,3,120,0
2000,30,487,1,1,5,12,4,755,2
2000,38,77,0,1,6,12,4,214,1
2000,51,350,1,0,0,12,1,716,1
2000,54,60,1,0,1,12,2,113,1
2000,8,455,0,1,2,12,4,478,1
2000,27,367,0,1,3,12,3,177,0
2000,27,465,1,0,4,12,4,892,0
2000,98,311,1,1,5,12,2,486,2
2000,21,91,0,0,6,12,4,267,0
2000,30,419,1,0,0,12,3,726,0
2000,97,453,0,0,1,12,1,793,0
2000,28,298,1,0,2,12,4,350,0
2000,64,325,0,1,3,12,3,730,1
2000,97,280,0,1,4,12,4,978,0
2000,69,199,1,1,5,12,1,112,2
2000,61,455,0,1,6,12,5,460,1
2000,48,118,1,0,0,12,3,349,0
2000,19,183,1,0,1,12,3,576,0
2000,4,398,1,1,2,12,4,514,1
2000,35,55,1,0,3,12,5,135,0
2000,64,271,1,0,4,12,3,890,1
2000,49,5,0,1,5,12,3,765,2
2000,17,101,1,1,6,12,5,89,1
2001,44,388,1,1,0,1,4,968,2
2001,92,286,1,0,1,1,3,157,0
2001,30,468,0,0,2,1,3,810,0
2001,93,53,0,1,3,1,1,397,1
2001,46,218,0,1,4,1,2,16,1
2001,6,329,0,0,5,1,3,372,0
2001,99,286,1,0,6,1,3,710,1
2001,37,492,1,1,0,1,3,935,1
2001,24,240,0,1,1,1,1,705,1
2001,93,214,0,0,2,1,5,468,0
2001,46,104,0,0,3,1,2,903,0
2001,53,361,0,0,4,1,1,485,0
2001,95,364,1,1,5,1,2,247,2
2001,99,222,0,0,6,1,4,133,0
2001,60,340,1,0,0,1,3,913,0
2001,97,348,1,0,1,1,5,230,0
2001,63,189,0,0,2,1,2,321,0
2001,85,327,1,0,3,1,3,129,0
2001,32,324,1,0,4,1,5,443,0
2001,87,476,0,0,5,1,3,635,0
2001,33,311,1,1,6,1,3,386,1
2001,67,99,0,1,0,1,5,220,0
2001,18,97,0,1,1,1,3,112,0
2001,25,327,0,1,2,1,4,262,0
2001,95,73,1,1,3,1,1,686,2
2001,54,482,1,1,4,1,2,29,1
2001,58,256,0,1,5,1,5,546,1
2001,67,231,0,1,6,1,1,314,1
2001,46,170,1,1,0,1,2,464,1
2001,24,482,1,0,1,1,5,445,0
2001,32,333,0,0,2,1,5,942,0
2001,47,157,1,1,3,2,4,886,1
2001,86,419,1,0,4,2,5,976,0
2001,23,429,1,0,5,2,4,784,1
2001,66,458,1,0,6,2,2,820,1
2001,27,222,1,1,0,2,3,928,1
2001,2,364,0,1,1,2,4,830,0
2001,90,346,0,1,2,2,3,636,0
2001,17,99,0,0,3,2,3,937,0
2001,33,220,0,0,4,2,5,175,0
2001,9,413,0,0,5,2,1,573,0
2001,43,244,0,1,6,2,3,98,1
2001,48,454,1,1,0,2,1,774,1
2001,39,259,1,1,1,2,4,114,1
2001,93,477,0,0,2,2,3,742,0
2001,42,441,1,1,3,2,3,694,1
2001,26,194,0,0,4,2,3,228,0
2001,99,375,0,0,5,2,1,467,1
2001,50,150,0,1,6,2,4,165,1
2001,25,494,1,0,0,2,1,857,1
2001,24,367,1,0,1,2,2,324,0
2001,13,498,1,0,2,2,2,509,1
2001,60,155,1,0,3,2,5,756,0
2001,7,499,0,0,4,2,3,38,0
2001,57,22,1,0,5,2,2,412,1
2001,36,458,1,1,6,2,2,511,2
2001,45,116,1,0,0,2,1,845,1
2001,20,113,0,1,1,2,4,668,1
2001,65,433,0,0,2,2,3,108,0
2001,8,211,1,0,3,3,3,870,0
2001,16,24,1,1,4,3,5,741,1
2001,14,283,1,1,5,3,4,438,2
2001,76,292,0,1,6,3,3,206,1
2001,87,363,1,1,0,3,1,59,1
2001,15,401,0,1,1,3,3,489,1
2001,92,56,0,0,2,3,2,251,0
2001,98,266,1,1,3,3,3,193,1
2001,66,54,0,0,4,3,2,3,0
2001,32,337,1,1,5,3,4,531,2
2001,87,108,1,1,6,3,2,869,2
2001,63,202,1,0,0,3,4,946,0
2001,86,202,1,0,1,3,5,721,0
2001,51,422,0,1,2,3,2,233,0
2001,25,337,1,0,3,3,4,197,0
2001,58,383,1,0,4,3,1,566,0
2001,63,474,0,1,5,3,4,557,1
2001,62,218,0,0,6,3,5,46,0
2001,22,243,1,1,0,3,2,597,2
2001,58,354,0,1,1,3,1,75,1
2001,58,388,1,1,2,3,4,325,1
2001,86,178,1,1,3,3,2,909,1
2001,49,475,1,1,4,3,5,209,1
2001,52,61,0,1,5,3,3,982,2
2001,42,405,1,1,6,3,5,467,1
2001,70,36,0,0,0,3,5,466,0
2001,15,358,0,1,1,3,2,388,1
2001,54,46,1,0,2,3,2,799,0
2001,60,95,1,0,3,3,4,377,0
2001,97,327,1,1,4,3,1,857,2
2001,8,44,0,0,5,3,5,240,0
2001,53,320,0,0,6,4,2,681,1
2001,60,226,1,0,0,4,2,935,1
2001,5,146,0,0,1,4,5,862,0
2001,68,472,0,0,2,4,4,403,0
2001,6,269,0,1,3,4,2,812,1
2001,96,13,1,1,4,4,3,651,1
2001,94,25,1,0,5,4,3,936,1
2001,47,261,0,1,6,4,1,241,2
2001,99,128,0,1,0,4,4,237,1
2001,55,39,1,0,1,4,5,137,0
2001,40,157,0,0,2,4,5,884,0
2001,52,364,0,0,3,4,5,489,0
2001,16,185,1,1,4,4,3,385,1
2001,13,174,1,0,5,4,5,951,1
2001,30,417,1,0,6,4,1,655,1
2001,19,472,0,1,0,4,3,44,0
2001,17,394,1,0,1,4,2,942,1
2001,63,186,0,1,2,4,4,168,0
2001,19,281,1,1,3,4,2,299,1
2001,92,489,1,1,4,4,2,893,2
2001,58,74,1,0,5,4,4,881,0
2001,55,295,1,0,6,4,4,838,0
2001,90,16,1,0,0,4,5,697,0
2001,90,188,1,0,1,4,5,182,0
2001,62,412,0,1,2,4,1,466,1
2001,23,460,1,1,3,4,4,212,1
2001,9,172,0,1,4,4,4,280,0
2001,12,186,1,1,5,4,2,498,2
2001,1,32,0,0,6,4,5,267,0
2001,58,63,0,1,0,4,1,913,1
2001,1,499,0,0,1,5,5,448,0
2001,34,349,1,0,2,5,4,846,0
2001,96,301,0,1,3,5,1,437,1
2001,48,309,1,1,4,5,5,319,1
2001,89,189,0,0,5,5,2,190,0
2001,1,306,1,1,6,5,5,526,1
2001,16,411,0,1,0,5,5,375,0
2001,61,26,0,0,1,5,1,580,0
2001,64,387,1,1,2,5,1,720,2
2001,63,346,0,0,3,5,3,354,0
2001,69,39,0,0,4,5,4,988,0
2001,22,193,0,0,5,5,2,901,0
2001,93,163,0,1,6,5,5,156,1
2001,67,53,1,0,0,5,1,921,1
2001,76,475,0,1,1,5,5,759,0
2001,26,174,1,1,2,5,5,586,0
2001,16,196,1,1,3,5,5,362,1
2001,51,211,0,0,4,5,5,640,0
2001,86,278,0,0,5,5,2,463,1
2001,57,188,1,1,6,5,2,412,2
2001,29,390,0,0,0,5,2,203,0
2001,78,308,0,0,1,5,2,910,0
2001,92,457,1,0,2,5,3,813,0
2001,69,331,1,0,3,5,1,191,1
2001,47,214,0,1,4,5,4,420,0
2001,94,495,0,0,5,5,4,438,0
2001,62,329,0,0,6,5,1,823,1
2001,69,29,0,0,0,5,4,73,0
2001,76,171,1,1,1,5,3,656,1
2001,16,122,1,1,2,5,1,718,2
2001,90,458,0,0,3,5,4,766,0
2001,90,418,1,0,4,6,5,625,0
2001,48,159,1,1,5,6,3,472,2
2001,85,86,1,1,6,6,4,711,2
2001,39,302,0,1,0,6,3,952,0
2001,100,4,1,1,1,6,1,789,2
2001,33,2,0,0,2,6,1,134,0
2001,94,133,1,0,3,6,1,584,1
2001,23,302,1,1,4,6,4,770,1
2001,10,79,0,0,5,6,2,437,0
2001,69,147,0,1,6,6,3,695,1
2001,100,166,0,1,0,6,4,191,0
2001,34,315,0,0,1,6,3,776,0
2001,52,463,0,1,2,6,5,586,0
2001,95,238,0,0,3,6,1,49,0
2001,10,328,0,0,4,6,1,70,0
2001,19,276,1,0,5,6,2,312,1
2001,58,204,1,0,6,6,1,7,2
2001,96,452,1,0,0,6,5,374,0
2001,1,53,0,1,1,6,3,308,1
2001,69,486,1,0,2,6,4,74,0
2001,4,107,0,1,3,6,1,418,1
2001,16,55,1,0,4,6,4,112,0
2001,24,246,0,0,5,6,2,176,0
2001,80,423,0,1,6,6,1,151,2
2001,2,377,0,0,0,6,2,77,0
2001,92,164,1,0,1,6,3,774,0
2001,32,442,1,0,2,6,3,807,1
2001,91,15,1,1,3,6,5,690,1
2001,84,1,0,0,4,6,1,419,0
2001,24,351,1,0,5,6,4,161,1
2001,12,137,1,1,6,7,1,329,2
2001,50,151,1,1,0,7,3,356,1
2001,35,180,1,1,1,7,2,692,1
2001,33,410,0,0,2,7,5,892,0
2001,33,232,0,0,3,7,4,66,0
2001,61,492,0,0,4,7,2,672,0
2001,51,487,1,0,5,7,4,869,1
2001,43,188,0,0,6,7,5,847,0
2001,12,18,0,0,0,7,5,245,0
2001,67,225,0,0,1,7,4,241,0
2001,65,105,1,0,2,7,3,871,1
2001,33,487,0,0,3,7,2,321,0
2001,40,206,1,0,4,7,2,617,1
2001,74,186,0,0,5,7,1,309,0
2001,43,65,1,0,6,7,2,764,1
2001,44,333,0,0,0,7,3,832,0
2001,29,372,1,1,1,7,3,196,1
2001,13,207,1,0,2,7,4,505,0
2001,12,229,1,1,3,7,1,295,2
2001,95,69,1,0,4,7,2,847,1
2001,46,142,1,1,5,7,2,959,2
2001,2,206,0,1,6,7,5,109,0
2001,35,174,1,1,0,7,4,649,1
2001,87,197,0,0,1,7,1,977,1
2001,81,331,1,1,2,7,3,13,1
2001,90,416,0,1,3,7,2,124,1
2001,8,307,0,1,4,7,2,970,1
2001,93,197,0,1,5,7,5,50,1
2001,26,228,1,0,6,7,5,730,0
2001,74,271,0,1,0,7,2,896,1
2001,90,437,1,0,1,7,2,792,0
2001,34,199,1,0,2,8,5,121,0
2001,7,325,0,1,3,8,3,481,1
2001,68,478,1,0,4,8,2,533,0
2001,58,15,0,1,5,8,4,547,1
2001,75,286,1,0,6,8,2,794,1
2001,29,334,0,0,0,8,4,237,0
2001,36,408,1,0,1,8,5,532,0
2001,89,216,0,1,2,8,3,414,1
2001,21,35,1,0,3,8,1,476,0
2001,36,69,1,0,4,8,1,645,0
2001,10,396,0,0,5,8,1,819,1
2001,73,212,1,1,6,8,5,858,2
2001,24,46,1,1,0,8,5,335,0
2001,64,382,1,1,1,8,2,135,1
2001,99,453,1,0,2,8,3,61,0
2001,49,248,0,1,3,8,3,734,0
2001,99,420,1,0,4,8,2,905,0
2001,36,85,0,0,5,8,3,966,0
2001,82,48,0,0,6,8,3,114,0
2001,96,231,1,1,0,8,2,935,1
2001,24,67,1,0,1,8,5,207,0
2001,23,477,0,1,2,8,1,34,1
2001,62,438,0,1,3,8,2,508,0
2001,96,89,1,0,4,8,2,981,1
2001,37,219,1,0,5,8,1,468,2
2001,12,420,1,0,6,8,1,793,1
2001,55,52,0,0,0,8,4,585,0
2001,13,22,0,0,1,8,4,839,0
2001,23,422,1,1,2,8,4,319,1
2001,89,99,0,1,3,8,5,876,0
2001,99,446,1,1,4,8,2,765,1
2001,30,449,0,0,5,9,4,215,0
2001,17,131,0,0,6,9,5,771,0
2001,62,88,0,0,0,9,1,582,0
2001,84,136,1,1,1,9,4,643,1
2001,89,496,0,0,2,9,2,104,0
2001,86,374,0,1,3,9,3,527,1
2001,13,39,1,1,4,9,5,875,1
2001,59,18,1,0,5,9,5,268,1
2001,19,105,0,1,6,9,1,226,1
2001,49,387,0,0,0,9,1,689,0
2001,100,146,1,0,1,9,1,322,1
2001,12,336,1,1,2,9,4,415,1
2001,61,224,0,0,3,9,1,514,0
2001,19,117,1,0,4,9,3,351,0
2001,76,1,1,0,5,9,5,94,0
2001,9,117,1,0,6,9,5,743,1
2001,71,384,1,0,0,9,1,549,1
2001,28,26,0,0,1,9,2,194,0
2001,78,436,1,0,2,9,5,493,0
2001,95,496,1,1,3,9,4,294,1
2001,52,12,1,0,4,9,2,184,0
2001,83,294,0,0,5,9,2,566,0
2001,16,341,1,1,6,9,3,922,2
2001,69,169,0,1,0,9,1,527,0
2001,99,53,1,0,1,9,4,387,0
2001,12,269,0,0,2,9,2,817,0
2001,25,248,0,0,3,9,2,230,0
2001,52,128,1,1,4,9,1,301,1
2001,85,76,0,0,5,9,4,634,0
2001,100,269,1,0,6,9,1,425,1
2001,53,146,0,1,0,10,4,816,0
2001,23,403,0,1,1,10,1,853,1
2001,16,403,0,1,2,10,1,427,1
2001,57,499,1,0,3,10,1,927,1
2001,39,454,0,0,4,10,3,71,0
2001,53,48,0,0,5,10,1,301,1
2001,42,199,0,1,6,10,2,857,1
2001,58,71,1,0,0,10,3,251,1
2001,39,412,1,0,1,10,1,760,1
2001,14,92,0,0,2,10,4,203,0
2001,95,403,0,1,3,10,5,966,1
2001,5,464,1,0,4,10,3,804,0
2001,35,209,1,1,5,10,4,470,1
2001,87,342,0,1,6,10,3,1,0
2001,93,339,1,1,0,10,4,962,2
2001,75,48,1,1,1,10,2,708,2
2001,18,29,1,1,2,10,4,336,1
2001,76,176,0,1,3,10,2,190,0
2001,9,19,0,0,4,10,4,650,0
2001,74,495,0,1,5,10,3,251,1
2001,58,355,0,1,6,10,5,657,0
2001,17,47,0,0,0,10,3,176,0
2001,7,345,1,1,1,10,2,727,2
2001,46,60,1,0,2,10,4,723,0
