area,bedrooms,age,price,num_floors,zip_code,furnishing_status,property_type,green_area_percent
4244,6,6,881000,5,10005,0,2,35
3365,6,44,688000,1,10004,1,0,9
1860,2,47,362000,2,10002,2,1,7
3127,5,17,637000,2,10003,2,2,27
4220,8,12,916000,2,10001,1,3,32
1101,2,41,191000,4,10002,2,3,34
1406,2,13,282000,1,40001,0,1,48
3970,4,49,800000,1,10005,0,2,13
1499,3,38,290000,5,30002,2,3,37
1939,4,40,386000,4,10005,1,1,49
990,2,1,206000,5,30002,0,3,37
3100,7,5,705000,3,20001,2,1,49
1780,7,34,368000,3,30001,1,3,48
3775,8,41,790000,5,10001,2,0,47
1984,3,3,382000,2,10004,0,1,13
4127,6,2,899000,5,10002,1,1,44
4194,6,29,871000,1,20002,0,2,38
927,2,10,197000,5,20001,1,2,30
2865,5,22,532000,2,40001,1,0,43
2616,3,48,503000,5,10001,1,3,5
1369,1,37,257000,2,10001,0,3,17
2695,3,35,486000,3,10002,0,0,22
3533,6,23,756000,1,30002,2,1,30
4663,9,5,987000,3,40001,2,2,16
4814,8,28,985000,3,10004,2,3,36
3701,6,21,763000,4,10004,0,3,10
2486,5,8,559000,1,10003,0,2,8
3809,6,10,821000,1,20002,1,2,24
954,3,19,191000,4,10003,0,3,19
3337,6,8,709000,5,30001,1,1,10
2209,1,35,410000,1,30002,2,0,26
4857,6,18,1007000,5,10001,0,3,41
1584,4,27,340000,2,10003,1,2,15
3975,7,10,828000,4,20001,0,0,46
3606,5,32,770000,2,10002,1,2,20
1337,1,23,265000,2,10005,0,1,26
2641,5,36,476000,4,30002,0,1,27
3255,4,33,645000,2,30001,0,3,41
1324,2,11,238000,4,40001,0,0,25
3750,7,15,794000,2,10003,0,1,32
4931,7,29,954000,1,10005,0,3,19
4915,6,10,993000,2,10005,0,0,11
3168,5,31,635000,2,30002,2,2,12
4647,8,48,924000,5,10003,2,0,49
3501,5,40,716000,2,30002,1,3,14
1771,5,26,354000,3,20002,0,3,49
1966,3,15,412000,4,30002,0,0,45
3574,4,28,743000,2,10003,0,2,7
2782,5,38,515000,4,10001,0,0,18
1653,2,41,261000,5,10002,2,0,49
4946,8,32,1004000,4,20002,0,1,6
4536,9,21,963000,1,10001,2,0,19
4569,5,16,956000,1,40001,2,2,45
1374,3,23,234000,2,30001,2,0,22
4061,7,39,792000,5,10003,2,3,31
1948,3,47,350000,1,10003,1,2,29
2515,4,8,494000,2,40001,1,0,25
4654,5,30,918000,3,30001,0,0,29
3291,5,41,627000,4,10004,1,2,24
3460,4,22,689000,2,10005,1,2,16
3924,5,11,857000,2,10001,0,1,18
3851,6,25,775000,2,10002,0,1,6
804,2,30,111000,3,20002,0,2,23
1676,2,9,326000,2,40001,2,0,36
1791,5,29,346000,4,10003,1,1,34
4942,7,43,1009000,4,10001,1,1,16
1435,3,37,272000,2,20002,1,3,40
2493,4,27,481000,5,40001,0,2,9
2482,4,18,505000,1,10004,2,0,45
919,1,37,121000,2,40001,0,0,40
1630,2,42,287000,3,10001,0,2,15
4475,8,4,996000,1,10002,1,3,31
2169,4,17,474000,4,20002,0,1,23
1540,2,7,328000,3,40001,2,2,17
916,3,38,141000,5,40001,1,0,31
3638,4,11,733000,1,10002,1,3,35
1950,3,25,347000,3,30001,1,3,36
2731,4,47,513000,1,10003,0,2,35
1812,4,46,316000,5,20002,0,1,46
2464,3,41,485000,1,20001,2,2,16
1881,3,17,345000,2,30001,0,1,44
1312,2,38,243000,4,30002,0,2,22
3649,6,39,695000,4,10001,2,1,8
1359,3,27,235000,1,30002,1,1,13
4472,7,0,945000,2,10004,0,2,11
4143,7,7,866000,3,10005,2,1,9
4870,6,23,1026000,1,10003,2,3,39
2270,3,47,411000,2,10005,1,0,29
1380,1,38,257000,3,10001,1,1,18
3094,6,29,636000,2,10003,1,2,41
3947,6,28,787000,5,10005,1,3,17
2479,3,10,475000,4,20002,2,0,12
4306,6,26,872000,5,10002,2,0,37
3544,7,13,743000,2,10001,0,1,7
4156,6,0,903000,1,40001,1,0,47
4845,7,15,1041000,2,30001,2,1,44
2043,3,25,435000,1,10004,1,0,22
3918,5,46,776000,4,20001,1,0,30
2941,5,1,612000,2,30002,1,2,44
3859,7,46,789000,3,20001,1,0,22
3759,7,36,785000,3,10002,1,1,8
3065,6,37,596000,4,30002,2,2,48
3279,6,38,664000,4,20002,1,0,15
2435,5,35,471000,2,20001,2,2,15
2557,3,24,483000,1,20001,2,2,37
2870,5,31,601000,3,30001,0,1,46
3649,7,26,763000,2,40001,1,2,35
4051,8,36,861000,1,20001,2,0,22
4530,7,9,958000,5,10001,0,3,26
3289,5,44,626000,5,10002,0,3,18
2431,3,38,411000,4,40001,1,1,35
3616,6,44,759000,2,10003,2,2,29
1815,4,49,356000,5,10005,0,1,16
2148,3,36,384000,4,30001,1,0,16
3887,7,15,768000,3,40001,0,0,25
3639,7,0,824000,5,10003,1,3,48
1135,2,38,198000,5,10004,2,2,40
1695,3,41,328000,1,10002,0,1,48
4346,8,42,836000,1,10003,1,3,15
1651,3,27,287000,5,10001,2,2,47
2487,6,34,509000,2,10003,0,1,43
2731,4,44,503000,2,10001,1,1,50
4546,8,0,976000,5,10002,2,2,46
3227,4,28,593000,2,10005,0,0,50
2368,5,44,446000,3,20002,1,3,35
4800,7,41,973000,5,20001,0,3,36
3538,4,33,714000,2,30002,0,0,10
4298,6,29,886000,2,10001,0,1,8
4713,7,0,1001000,3,20002,1,0,10
1866,4,27,392000,5,30001,1,2,47
3244,5,36,634000,4,10001,0,2,49
4907,5,23,1044000,5,40001,2,3,41
4173,6,9,889000,1,20001,1,3,33
4769,7,26,983000,3,10005,1,3,47
3346,6,31,683000,2,10001,2,0,8
1553,4,11,312000,3,20001,0,2,8
2882,4,44,569000,2,10005,2,0,17
3574,5,3,741000,2,10003,2,0,8
3696,5,39,757000,3,40001,2,0,49
4985,6,25,1024000,4,40001,1,0,19
1575,1,15,282000,4,10002,1,2,48
2425,5,9,531000,1,20002,1,0,9
3869,8,21,805000,2,10002,0,3,50
1217,3,4,248000,4,10002,0,1,45
914,3,23,182000,1,10005,1,1,15
1416,3,28,278000,2,40001,0,3,27
4774,6,34,952000,3,10003,2,1,22
4067,6,13,842000,2,10002,1,1,5
1625,4,4,349000,5,20002,0,3,38
2316,3,27,467000,3,10002,1,2,30
3946,5,8,843000,3,10001,2,2,19
1212,1,27,225000,1,10002,2,3,34
1528,2,38,252000,2,10003,1,2,30
4148,8,28,920000,2,40001,2,3,43
3608,7,37,679000,2,10005,0,2,10
1475,3,5,294000,3,20001,1,3,40
4265,8,45,878000,5,10005,2,1,21
3304,6,40,698000,1,10005,2,1,32
3767,5,23,777000,1,10002,1,0,40
3586,4,47,678000,2,10004,1,2,20
1922,3,49,370000,2,20002,2,3,24
4879,7,45,965000,3,10001,1,1,46
2371,4,25,456000,2,10002,2,1,9
2943,5,8,646000,2,10004,2,2,50
2487,3,13,544000,2,20001,1,0,29
4932,6,20,977000,3,10004,1,0,13
4651,5,43,957000,1,30001,1,2,23
4240,7,10,925000,4,10002,0,2,18
4566,6,13,974000,1,20002,0,1,38
3126,5,32,648000,5,10005,0,2,35
3714,6,39,760000,2,10002,0,2,34
4752,7,38,974000,3,10003,1,1,38
1395,2,48,220000,4,40001,0,3,49
1528,2,26,255000,2,20002,1,1,49
2165,5,39,401000,1,10005,2,1,15
1498,2,23,291000,5,40001,0,1,24
1195,4,14,260000,3,10001,1,2,36
4971,6,42,972000,4,30001,1,0,7
3302,4,46,616000,3,10003,1,0,42
2619,2,4,536000,3,30001,0,3,31
1517,3,7,306000,5,30001,0,2,48
3582,6,8,745000,1,10001,1,3,44
4377,5,5,938000,2,10005,1,3,25
943,2,15,160000,2,10002,1,0,6
3940,6,5,839000,5,10002,0,2,33
3738,4,35,747000,3,20001,1,0,50
4436,6,41,887000,5,10001,2,2,20
4022,7,19,836000,2,10005,1,0,18
1967,5,17,457000,1,10004,2,2,9
3416,4,15,722000,5,10005,1,0,32
1862,4,12,440000,1,20001,1,1,38
2956,5,14,608000,1,20001,2,3,39
3782,5,34,759000,4,10001,1,0,47
4094,4,9,870000,2,10003,1,2,21
1956,4,43,415000,2,20001,1,3,44
1532,1,19,313000,1,10002,1,1,33
1753,4,30,336000,1,30001,1,3,33
3339,5,15,696000,1,30002,1,3,43
4124,5,33,825000,2,40001,2,1,41
4101,6,7,872000,5,30001,2,2,18
2342,6,14,500000,4,10002,0,0,24
1991,5,6,443000,3,30002,1,2,36
3793,6,2,740000,3,10005,2,2,27
3481,6,20,701000,1,10005,0,1,31
2017,3,4,445000,4,30002,1,0,20
2340,4,49,485000,4,20002,2,1,24
4036,8,30,848000,3,30002,1,3,15
3186,5,21,646000,4,10001,0,0,7
4519,7,12,926000,5,10005,2,3,17
2188,4,41,397000,4,10004,1,0,31
2656,4,46,500000,2,10001,0,3,41
2165,3,44,404000,1,30002,0,0,47
1299,2,36,207000,4,40001,1,0,12
2480,4,48,463000,4,10005,1,1,11
1310,3,7,294000,1,30001,0,3,17
2124,2,33,419000,2,10005,2,0,43
1955,3,22,393000,4,30001,2,3,47
2627,4,17,529000,4,10004,2,2,26
3941,5,3,797000,4,20002,0,2,36
4286,4,12,871000,1,10004,1,1,50
2610,3,29,529000,1,10005,2,3,44
3723,6,41,748000,3,30002,2,0,34
3014,5,41,603000,1,10004,0,1,48
4986,7,4,1081000,5,30001,0,0,49
1513,3,30,318000,2,10001,1,2,23
4402,7,42,902000,1,20002,2,0,45
4934,8,41,1015000,4,30002,1,3,14
4322,8,22,847000,5,20001,1,0,20
2043,3,49,379000,1,30002,0,3,50
4509,6,45,940000,5,30002,1,2,43
1881,2,40,301000,1,40001,0,0,6
1255,4,49,243000,3,10004,1,3,5
1694,3,19,368000,1,30002,0,2,8
2184,4,23,450000,4,30001,1,0,10
2758,5,42,500000,1,30001,2,0,27
3872,7,6,799000,3,20002,1,3,50
2796,3,6,584000,1,30002,1,3,22
1304,4,44,273000,1,10003,2,0,31
2014,2,45,313000,2,10003,1,0,22
2331,3,38,432000,5,20001,2,2,6
4240,6,17,900000,1,20001,0,2,45
1623,3,26,305000,4,30002,0,2,7
1728,5,19,361000,2,10002,0,2,23
933,2,32,195000,3,20002,2,2,32
2905,5,16,622000,2,40001,1,3,25
4427,7,23,932000,1,10005,1,0,15
2652,5,18,522000,1,10005,2,1,23
4975,7,46,979000,5,10005,2,2,44
3733,4,15,767000,2,20002,2,1,45
4084,6,0,876000,3,10004,0,2,25
3611,6,22,757000,3,10001,0,3,13
2050,3,2,473000,1,10005,2,3,11
4312,8,45,875000,3,30001,2,3,41
2056,4,36,409000,2,40001,0,1,24
4176,4,2,792000,3,20002,1,1,24
4286,6,42,841000,5,20002,0,1,44
4384,7,21,929000,5,10002,2,2,10
2196,4,48,391000,1,10005,2,3,12
4437,8,32,895000,2,40001,0,1,5
4130,8,15,937000,5,20001,1,1,42
3503,6,37,722000,3,40001,2,3,44
1270,3,49,196000,1,10002,0,0,8
2153,2,44,412000,5,10003,1,1,46
3583,5,39,697000,4,10002,2,3,39
3631,5,13,722000,4,20001,0,3,46
1157,1,47,157000,5,20002,2,0,42
3819,7,25,776000,4,40001,0,2,48
1467,3,13,288000,5,10005,0,3,35
1945,5,21,380000,5,10002,2,1,26
4985,8,42,1013000,2,30001,2,1,12
4519,7,42,928000,1,10002,2,3,6
3545,7,30,729000,2,30001,1,1,15
1339,2,45,214000,5,10003,0,2,50
3579,4,14,745000,3,30002,2,0,18
4936,8,22,1027000,1,30002,1,3,45
4575,7,21,968000,1,10004,1,3,48
3308,5,8,695000,1,10004,2,0,28
3579,5,23,755000,1,20002,2,3,45
1724,2,30,317000,4,40001,0,3,27
3756,6,0,789000,3,10002,2,3,29
2381,4,40,478000,4,10001,0,1,30
4124,7,37,877000,5,20002,0,1,44
1055,1,43,136000,5,40001,0,2,27
2638,5,12,578000,1,10001,0,2,36
2744,4,41,499000,5,10005,1,1,44
809,2,10,119000,5,10004,0,3,32
3671,5,4,798000,2,20002,0,2,28
1597,3,5,353000,2,40001,0,0,27
1815,5,30,373000,3,20002,0,2,16
2624,5,16,552000,5,10002,0,2,25
3936,5,31,813000,2,10001,1,2,37
2993,3,25,573000,3,10004,0,0,20
1023,2,49,188000,3,30001,1,0,27
4958,7,30,1033000,2,10001,1,0,45
4725,7,26,945000,2,30001,1,0,38
4800,6,47,925000,4,40001,2,1,44
2433,3,25,454000,3,10001,0,3,30
2952,4,18,618000,1,10004,2,0,9
1310,3,8,288000,5,40001,0,3,28
1184,2,46,172000,1,30002,2,1,12
1204,2,7,250000,2,10004,2,1,11
2800,3,4,608000,3,10001,1,2,14
3556,6,42,728000,2,10005,0,2,31
2468,3,20,495000,5,10001,2,0,18
2260,5,22,486000,5,10004,2,2,36
4436,8,18,981000,5,30002,1,1,47
3524,4,48,688000,4,40001,1,1,46
4978,9,49,975000,1,40001,2,0,26
2848,6,9,616000,5,10004,1,2,45
4946,7,41,1009000,5,20002,1,2,49
1516,2,34,300000,3,10005,0,2,44
2623,2,22,499000,2,10005,0,1,41
2881,5,37,596000,2,40001,1,0,40
4219,6,26,857000,4,20002,0,1,34
2374,5,35,454000,4,30001,0,2,13
1049,1,29,145000,2,40001,2,0,9
1473,4,35,259000,3,30001,2,0,50
2965,6,27,616000,2,20001,2,0,12
1570,3,4,337000,5,10004,0,0,25
4762,6,6,991000,3,10005,1,0,10
2784,4,16,573000,2,10002,0,0,40
1877,2,11,399000,5,20001,2,3,39
1035,1,6,261000,4,10002,1,1,9
1188,1,47,173000,4,10003,2,3,50
3837,6,44,803000,1,20002,1,1,44
2648,3,18,534000,5,20002,2,1,48
3614,5,42,693000,2,10002,1,3,48
4174,7,35,889000,5,10002,1,1,13
4078,6,17,833000,4,30001,2,1,30
2052,3,22,404000,1,30002,2,3,37
4781,7,11,999000,4,10001,0,1,17
2922,6,45,649000,5,10005,2,2,6
2950,6,15,611000,5,30002,0,1,22
2129,1,1,411000,4,20001,0,1,12
2158,3,39,439000,3,10003,1,3,41
3282,5,22,663000,3,10005,1,0,21
2817,7,33,548000,5,10003,0,3,49
2131,3,47,410000,5,20001,0,1,35
2158,3,0,436000,3,20001,2,1,13
3977,6,49,773000,3,10002,2,2,27
2928,5,8,642000,1,20002,2,1,21
2980,5,11,636000,4,10004,1,3,12
937,3,30,153000,2,10003,1,0,13
4272,6,46,841000,5,30001,1,2,24
3632,7,9,761000,4,20002,2,3,43
4379,7,29,931000,5,10001,2,3,10
3831,7,28,802000,4,20001,2,3,26
4964,7,49,938000,1,10001,2,0,49
3393,5,8,656000,5,10002,2,2,18
4618,7,13,988000,3,30001,2,3,12
4938,5,36,985000,4,10003,2,3,36
4623,7,20,985000,1,20001,1,2,31
4842,4,43,910000,3,40001,2,3,39
2706,3,36,515000,2,30001,0,2,6
1560,2,7,334000,5,10001,0,3,6
4245,6,46,810000,3,30001,0,3,16
1699,3,10,329000,4,10003,2,1,35
3747,4,7,768000,3,20001,0,3,21
2519,4,32,548000,4,10001,1,1,41
1080,2,37,168000,5,10004,0,1,14
4066,8,38,853000,1,10003,0,3,14
2687,4,8,589000,4,30002,1,0,49
4066,5,3,849000,4,10003,1,0,35
1466,4,37,282000,1,10005,0,0,39
4988,7,14,997000,3,10004,2,0,8
1471,4,20,352000,2,30001,0,2,47
2769,5,38,548000,3,40001,1,0,36
4956,6,10,1031000,1,30002,1,1,44
3922,5,18,772000,1,10004,0,3,43
4700,6,39,925000,3,10005,0,0,43
1323,4,9,352000,1,10001,2,1,28
3193,7,1,702000,1,10002,0,2,19
3917,8,5,840000,5,40001,2,0,50
3393,5,24,678000,3,40001,2,0,29
2768,6,7,530000,5,30002,2,0,14
2553,5,12,541000,4,10005,1,0,11
3096,5,27,638000,2,20002,0,2,38
3061,4,38,572000,5,20002,1,0,28
3086,5,10,658000,4,10003,2,1,31
3678,7,47,741000,4,30002,1,3,16
4943,8,22,948000,2,20002,1,1,35
4444,6,7,944000,3,30001,0,2,18
2855,5,42,570000,3,10001,2,3,42
2076,3,49,347000,2,10005,2,2,30
3566,6,4,785000,2,20002,2,0,41
1102,3,39,162000,3,20001,2,1,29
1438,3,31,274000,5,10002,0,1,15
855,3,39,146000,3,20002,1,0,36
1325,2,17,284000,4,10005,1,1,38
4923,8,8,1066000,5,10002,0,2,12
2925,4,4,612000,1,30001,0,2,9
4087,5,16,910000,2,40001,1,3,20
1164,3,6,289000,1,20001,1,1,26
2446,5,34,464000,3,10001,0,2,10
1718,4,22,343000,5,10004,1,0,5
3597,6,9,762000,5,30002,0,1,47
2331,2,16,424000,1,10002,2,3,11
4145,5,20,825000,3,10004,2,3,38
2706,4,9,584000,2,40001,2,1,38
3886,6,14,817000,1,10001,1,0,45
2875,6,5,597000,5,10004,1,2,15
1513,2,9,304000,5,10003,0,2,35
1862,4,24,350000,5,30002,2,2,17
2776,5,25,553000,3,10003,2,3,26
2096,1,19,472000,2,20002,1,0,24
925,2,37,155000,4,10005,2,3,17
4396,7,7,958000,3,30001,1,2,22
4083,7,37,855000,5,20001,0,0,25
2403,2,16,481000,1,10001,0,3,24
866,3,18,180000,5,30002,1,2,12
1032,3,33,203000,2,30002,1,2,48
2956,6,27,612000,3,20001,2,1,16
1969,3,31,383000,3,20002,2,2,21
2958,5,43,574000,3,20002,0,2,36
2293,3,22,443000,1,40001,2,3,46
4807,9,20,979000,2,30002,1,0,33
3272,5,10,666000,5,30001,1,3,28
3460,4,11,707000,5,30002,2,2,8
3539,5,44,686000,3,20002,0,1,21
2561,5,32,544000,2,10004,2,1,40
4314,6,2,926000,1,30001,2,3,47
2775,5,25,575000,2,40001,2,2,37
3162,7,22,632000,5,30001,1,0,15
