hours_of_sleep_last_night,steps_walked_today,typing_speed_wpm,eye_openness_percent,meetings_attended,snooze_count,last_meal_type,current_weather,outfit_choice,browser_tabs_open,Coffee_Needed_Level
8.1,18529,16,94,3,0,3,2,1,2,1
6.7,17901,106,58,1,0,2,2,1,1,1
2.5,2802,45,0,1,1,1,2,1,2,0
6.6,11059,115,80,3,2,1,2,1,2,1
5.2,14306,46,97,1,3,3,2,2,0,1
4.6,9479,115,87,2,2,0,0,3,2,1
7.2,10415,85,94,6,2,2,1,3,0,2
8.1,8328,11,97,3,5,3,1,1,2,0
7.9,9557,12,24,7,1,3,3,3,2,0
4.3,5645,96,28,4,1,0,1,0,2,0
5.4,7828,37,91,9,0,3,0,2,2,1
6.7,5286,31,24,5,2,0,2,2,1,0
8.0,13749,21,55,9,1,1,2,0,0,1
5.0,9910,107,58,9,0,3,1,1,1,1
5.6,5056,91,34,5,4,2,0,2,0,0
3.8,7929,106,97,3,0,1,1,1,1,0
3.6,19569,46,72,3,1,1,2,1,0,0
7.6,17910,28,76,6,4,1,3,3,1,0
8.7,15298,45,52,6,1,0,0,0,2,1
5.9,1750,116,48,4,3,0,1,2,2,1
8.0,6321,50,72,5,1,2,0,1,2,1
6.7,6387,97,99,5,1,0,0,2,2,1
4.7,15677,42,12,6,0,0,1,2,1,0
6.7,712,98,93,2,3,0,3,2,0,1
9.1,893,11,45,5,5,1,3,0,2,0
5.9,15342,15,80,6,2,1,3,2,0,1
9.1,15898,10,57,6,0,2,1,3,0,1
0.8,8622,116,26,5,1,3,0,1,0,0
7.6,536,30,43,3,5,0,3,0,0,0
6.2,2200,62,43,7,5,2,3,2,2,0
5.4,10654,91,53,4,2,2,2,2,2,1
6.2,15702,86,86,8,2,0,3,2,1,1
2.0,15149,22,93,0,4,3,2,1,1,0
5.6,6249,28,50,8,3,1,1,1,2,1
6.7,12065,43,99,2,5,0,0,1,0,0
9.0,6490,24,8,4,2,0,3,2,0,0
5.0,18869,15,81,0,4,3,1,0,2,0
4.4,8299,95,26,4,1,2,3,0,0,0
5.0,11155,64,46,7,3,3,1,1,0,1
7.8,18887,76,8,2,1,2,3,3,0,0
6.7,19760,67,2,0,3,0,1,3,0,0
4.9,9719,43,90,3,3,1,1,1,2,1
7.0,2299,47,52,9,2,1,1,0,2,1
6.2,3520,104,65,9,3,2,0,2,2,1
7.9,18299,55,37,4,4,0,0,2,2,0
4.6,64,69,95,8,1,3,3,1,2,1
5.3,18977,32,7,4,5,0,1,1,0,0
5.2,14238,63,29,2,0,2,3,3,0,0
3.1,14595,10,48,9,2,3,3,0,0,0
6.6,3022,12,63,5,4,1,2,1,0,0
6.5,2364,56,31,4,0,1,3,2,2,1
6.0,19598,15,16,7,2,1,0,1,2,0
5.5,16311,101,1,8,1,1,1,3,1,0
3.2,9015,15,33,0,5,2,3,0,0,0
5.2,14329,35,62,7,0,1,3,3,2,1
5.3,10169,98,72,1,4,2,2,3,0,0
4.4,12005,82,17,7,5,0,0,0,0,0
5.7,8857,24,38,9,0,1,3,2,2,1
6.8,12915,106,0,4,4,0,3,0,1,0
9.8,7241,107,79,2,0,2,0,0,0,1
6.3,14193,31,30,1,2,2,3,0,1,1
6.5,17804,26,42,6,1,3,0,3,0,1
5.9,15759,16,31,7,5,3,1,3,2,0
2.2,1001,90,86,2,1,1,2,3,0,0
5.9,12444,15,58,3,1,3,1,3,2,1
6.1,15796,88,54,1,5,2,2,1,2,0
10.0,2415,14,19,5,1,1,1,1,1,0
5.6,9183,68,85,6,5,0,1,2,1,0
6.6,7708,78,45,9,0,2,1,0,1,1
5.9,3734,112,39,3,2,0,1,3,0,1
3.7,9552,34,94,9,1,3,1,3,0,0
8.3,14436,28,49,4,5,0,0,0,0,0
7.5,18078,113,65,5,0,0,3,3,2,2
7.6,7194,104,81,9,3,3,1,2,2,1
4.2,7803,11,30,0,3,2,0,0,2,1
8.8,3401,31,83,6,2,0,0,0,1,1
3.2,919,17,2,5,5,0,0,3,1,0
7.2,10238,38,65,9,3,3,3,1,0,1
10.0,1349,86,5,4,5,2,1,0,0,0
4.0,4764,17,20,3,4,3,0,1,0,0
4.9,5269,62,31,3,3,2,3,2,2,1
6.2,18818,68,24,4,2,3,2,1,0,0
5.0,2038,84,5,0,2,0,1,1,1,0
2.9,5264,34,44,2,1,2,0,0,2,0
6.1,13057,91,83,9,5,1,3,1,2,0
3.9,17577,26,15,4,4,1,2,3,2,0
6.9,9710,43,72,0,2,2,2,3,0,1
4.2,2373,61,93,4,5,1,3,3,2,0
9.1,4119,88,63,7,2,2,0,1,2,1
4.4,17111,73,67,3,1,1,0,0,0,1
5.4,16752,95,80,7,0,2,0,3,0,1
7.6,1528,114,98,0,4,3,3,3,1,0
3.5,15779,54,24,5,5,2,0,3,2,0
6.5,3361,107,94,2,2,1,2,0,2,1
8.6,1896,90,19,1,4,1,2,3,2,0
2.8,4731,82,15,6,0,3,2,0,1,0
6.4,15536,118,77,7,5,1,0,3,2,0
6.5,12533,76,88,4,0,1,1,0,1,1
7.6,11797,20,53,7,5,0,0,3,0,0
3.5,2606,91,98,3,1,2,3,1,2,0
3.4,18266,72,23,0,1,2,1,1,1,0
7.0,4791,37,51,2,0,0,0,1,2,1
6.6,15204,73,91,4,1,3,3,2,1,1
6.5,12776,70,4,1,1,0,3,0,0,0
6.7,3413,88,66,5,0,3,0,2,0,1
4.6,9069,23,13,5,5,0,1,3,0,0
6.5,424,38,64,6,4,2,3,1,0,0
6.6,8155,43,33,7,1,1,0,2,1,1
4.6,15562,37,92,9,0,3,1,0,0,1
9.7,9624,71,63,4,3,2,3,0,1,1
6.9,14851,85,3,3,1,1,3,1,0,0
3.6,15499,11,8,6,0,3,0,0,2,0
7.3,18434,22,18,4,4,0,1,2,2,0
4.1,14195,111,34,6,4,2,3,3,2,0
7.6,5413,47,77,9,2,2,1,3,2,1
8.3,8757,62,26,5,5,3,1,1,0,0
4.4,17271,69,60,2,3,2,3,2,1,1
7.9,15416,66,99,2,0,3,0,0,1,1
6.8,5653,11,69,0,2,3,3,1,0,1
7.6,6141,53,4,5,4,0,1,3,2,0
9.8,17724,20,58,0,4,0,1,0,0,0
5.5,4512,13,38,0,2,2,3,3,2,1
4.5,1123,11,9,6,0,3,0,0,2,0
4.2,7041,99,63,7,1,3,3,1,1,1
4.4,4773,100,55,5,4,0,2,3,0,0
5.8,641,99,4,0,1,2,0,1,0,0
6.7,11502,30,73,4,4,0,3,2,2,0
6.6,7158,39,7,1,4,2,1,2,1,0
7.7,13971,91,49,2,1,0,1,2,2,2
6.0,18548,104,48,3,1,0,2,3,0,1
8.9,19166,85,12,9,0,2,1,0,1,0
5.5,14805,38,2,1,5,3,1,0,1,0
10.0,6302,17,8,8,2,0,0,1,2,0
7.3,12467,76,20,2,4,0,1,2,0,0
4.3,2828,28,24,6,1,1,0,2,2,0
3.9,133,45,13,0,0,3,2,2,1,0
7.0,11356,51,71,8,1,3,2,2,2,1
5.6,13016,80,59,2,0,0,0,3,1,1
7.4,15352,79,38,0,0,0,0,1,1,2
6.9,16131,24,70,5,1,2,1,0,1,1
5.9,4027,73,33,1,0,3,3,3,0,1
4.3,14765,52,27,4,1,3,3,2,0,0
3.0,16201,113,79,6,5,2,0,0,1,0
5.1,2230,53,2,2,5,1,2,3,0,0
7.7,1669,98,88,3,4,2,0,2,1,0
6.4,6405,101,75,8,3,2,2,3,2,1
3.5,16408,41,97,6,0,0,2,3,0,0
6.3,15943,74,51,0,1,0,3,2,1,1
6.8,9287,108,92,5,4,2,1,2,2,0
4.2,15451,99,23,2,5,1,3,0,0,0
6.3,10837,46,43,6,0,2,1,0,1,1
6.1,12539,60,32,9,0,2,1,0,0,1
3.7,11593,112,6,5,0,2,1,2,1,0
6.7,19516,96,75,9,1,1,1,3,2,1
7.1,4783,28,57,9,0,3,1,1,1,1
8.2,2573,36,20,5,4,3,2,2,1,0
8.1,748,83,35,7,1,1,2,1,1,1
3.2,6112,108,41,7,2,2,0,2,0,0
4.1,2960,47,58,7,4,1,3,2,1,0
7.0,12227,55,97,4,3,1,1,3,0,1
7.0,18472,51,67,1,1,3,3,3,0,1
7.0,13914,57,48,0,1,1,1,3,2,1
10.0,6342,17,74,0,3,1,2,0,1,1
7.1,4217,67,74,7,3,3,1,0,2,1
8.3,13720,84,82,8,3,2,1,0,1,2
7.9,16747,84,67,3,0,0,3,2,2,2
7.3,8432,48,70,2,0,2,2,0,2,1
5.4,18600,69,17,8,0,3,1,1,1,0
7.5,12868,87,64,0,5,2,0,1,2,0
4.5,2988,104,18,5,3,0,0,2,2,0
5.5,18926,38,95,5,4,2,1,2,0,0
5.0,8808,81,43,7,3,1,0,2,2,1
6.2,14496,91,20,4,4,3,1,0,0,0
10.0,4358,89,30,2,1,2,1,1,2,1
2.3,4924,93,97,3,4,0,0,0,1,0
7.4,7997,112,91,0,0,1,3,2,1,1
2.8,15433,21,12,9,5,3,1,1,0,0
5.1,835,86,46,2,1,2,2,0,1,1
8.2,3923,104,54,7,0,1,1,2,2,1
6.1,2635,61,62,8,1,1,3,0,0,1
3.8,19537,39,79,3,2,0,3,0,2,0
4.6,3266,27,38,8,5,3,0,0,0,0
7.4,10850,39,63,5,1,2,1,3,2,1
4.5,13723,117,37,1,0,1,2,1,0,1
6.4,4922,39,65,8,1,1,2,0,0,1
6.1,14108,43,65,5,2,1,0,2,1,1
4.7,8574,67,40,1,4,0,3,2,2,0
10.0,19015,114,75,8,2,0,1,1,0,2
7.3,5847,85,72,0,4,0,0,2,2,0
1.9,10049,57,91,3,1,3,3,0,1,0
6.4,13159,25,64,2,2,0,2,0,2,1
4.7,7755,109,1,6,2,2,2,1,2,0
7.7,7349,68,57,1,0,0,0,2,1,1
4.4,4078,59,34,5,4,2,3,3,2,0
5.8,16984,34,19,8,2,1,2,0,2,0
7.0,15899,62,4,9,1,2,0,3,1,0
7.7,14099,33,10,8,2,2,0,1,0,0
3.6,5569,116,26,4,2,2,0,3,2,0
5.3,2500,92,64,8,1,1,1,0,2,1
5.1,17057,94,22,2,1,3,3,3,1,0
4.7,18996,104,65,1,3,2,1,0,1,1
9.5,3816,50,33,0,4,3,2,3,2,0
6.8,188,102,72,8,3,3,3,2,1,1
3.5,2432,103,38,0,5,3,3,1,1,0
7.8,2991,33,67,5,2,2,3,3,1,1
10.0,3471,47,24,8,4,3,0,0,0,0
8.1,13754,62,2,5,5,2,1,0,1,0
3.0,6435,13,42,6,1,3,1,3,2,0
5.0,6334,76,33,1,3,3,1,2,0,1
8.5,19858,60,85,4,4,1,1,1,2,0
4.6,7097,68,9,1,1,1,0,3,2,0
6.9,12138,66,41,3,2,0,0,3,2,1
7.5,3233,36,58,2,3,2,0,0,2,1
4.1,19570,67,61,8,2,3,0,2,2,1
5.9,7485,45,37,8,2,1,1,3,2,1
0.0,7965,20,53,9,1,1,3,0,2,0
4.0,13192,57,100,8,3,3,2,0,1,1
5.5,16206,84,32,0,3,3,1,0,2,1
3.5,19337,19,69,7,3,0,1,0,1,0
9.3,17026,106,66,2,0,0,2,0,2,2
3.1,9131,95,67,3,3,1,3,3,0,0
5.1,8207,57,69,2,4,3,1,3,0,0
6.3,11813,17,98,4,1,0,2,0,2,1
8.9,10430,98,73,8,4,2,3,0,1,0
3.1,14798,65,83,3,1,3,2,1,1,0
8.3,10632,81,46,9,0,1,1,3,1,2
6.0,15478,118,44,3,4,1,0,3,0,0
4.0,11034,98,28,0,5,0,1,3,1,0
6.9,5318,61,10,2,0,2,2,1,1,0
6.4,1166,97,9,7,5,0,3,1,1,0
4.8,9056,54,75,0,2,1,2,2,1,1
6.1,1559,110,95,9,4,1,3,0,0,0
5.2,11794,27,21,0,5,2,2,2,0,0
6.2,2134,98,40,6,3,1,2,1,1,1
7.3,12918,45,96,7,0,2,1,1,0,1
9.2,13165,98,2,9,5,2,3,3,1,0
3.5,17002,21,97,6,2,2,3,0,2,0
10.0,17967,79,17,5,1,3,0,3,1,0
2.1,13784,60,28,6,0,2,2,2,0,0
5.7,1732,10,27,4,5,2,3,1,1,0
7.2,14967,97,89,9,1,2,0,3,0,2
6.6,19577,55,72,5,3,1,2,2,0,1
4.8,16868,32,1,1,3,2,2,2,1,0
5.6,19009,101,30,5,2,0,0,0,1,1
5.0,4201,112,32,2,5,0,1,0,0,0
4.8,11220,13,59,8,3,0,0,2,1,1
7.7,8907,12,15,2,0,3,3,1,2,0
6.7,7987,49,31,8,4,3,3,1,0,0
4.6,17355,47,70,9,0,2,1,3,1,1
7.8,10628,60,0,8,0,2,0,3,0,0
6.6,1809,66,42,1,0,2,3,0,1,1
7.6,6374,14,16,4,0,3,1,3,1,0
7.3,3520,28,10,8,5,1,0,1,0,0
4.3,8629,81,79,2,1,3,1,3,0,1
4.9,14242,76,48,9,4,3,1,0,2,0
7.5,17595,101,73,4,5,0,3,2,2,0
7.2,12090,106,92,0,0,0,3,3,0,2
6.0,14293,54,54,5,4,1,0,1,1,0
6.2,8424,99,59,1,1,0,3,3,1,1
8.6,13560,32,72,2,5,2,0,0,1,0
4.8,18827,41,75,3,3,1,0,2,1,1
7.1,1733,15,24,1,3,1,3,1,1,0
5.6,12610,91,55,9,4,1,3,0,0,0
5.6,1829,59,72,1,1,1,0,2,1,1
8.2,4318,63,44,7,1,2,1,0,1,1
7.7,8739,29,67,1,0,1,0,3,1,1
7.6,3769,27,6,4,2,3,2,3,1,0
8.6,9619,25,36,0,4,1,0,1,2,0
6.0,6822,90,37,5,4,1,3,0,0,0
7.4,18497,55,42,0,2,1,1,2,1,1
5.4,14429,100,32,8,2,2,3,3,0,1
6.6,1121,30,48,1,3,3,3,1,1,1
5.7,12205,37,66,7,1,3,3,0,1,1
6.2,7103,78,66,8,1,1,0,0,1,1
7.2,14530,11,14,1,4,2,1,3,0,0
4.4,13136,72,52,4,4,2,2,1,0,0
10.0,19536,38,24,8,2,1,3,2,0,0
4.0,1892,29,69,3,1,2,1,2,1,1
3.6,12343,49,26,9,0,3,1,2,2,0
8.3,489,16,7,9,5,1,3,3,2,0
7.6,3452,14,61,3,0,2,2,1,2,1
7.2,3007,58,78,4,5,1,1,0,0,0
7.3,2231,82,99,1,3,2,3,0,1,1
6.0,5496,64,32,4,1,2,3,3,2,1
4.2,15152,20,95,5,3,3,1,2,0,1
6.2,3861,13,73,0,3,2,0,3,1,1
4.6,19677,31,68,2,3,3,3,3,2,1
8.0,6054,38,83,1,5,3,2,1,1,0
5.7,19672,18,87,6,1,0,0,2,2,1
4.3,1986,104,0,7,2,3,2,0,1,0
5.4,15981,70,81,4,5,0,2,3,0,0
6.8,17234,55,88,4,1,1,2,3,0,1
4.9,11335,26,16,3,1,1,2,1,1,0
4.4,18505,52,37,8,3,0,3,3,1,1
6.5,18085,14,33,3,1,0,3,1,2,1
6.5,18836,85,70,0,0,3,1,0,0,1
5.0,11500,99,46,0,2,0,0,2,0,1
5.1,8426,44,60,6,5,2,2,1,0,0
6.5,496,81,1,8,2,3,3,2,2,0
3.1,11041,88,52,0,3,2,1,0,1,0
3.2,3937,101,41,3,5,2,3,0,2,0
4.6,4917,29,28,6,2,2,1,0,1,0
5.6,15695,55,19,3,1,3,3,0,2,0
6.6,9825,85,15,9,0,1,2,1,1,0
9.0,16226,77,5,6,0,2,3,3,0,0
7.7,9939,99,14,5,5,1,0,2,0,0
5.7,4569,74,66,0,3,3,2,3,1,1
6.0,2754,10,51,3,0,3,3,1,0,1
4.0,2032,35,10,0,5,0,0,0,0,0
6.0,15673,49,44,5,5,0,2,1,2,0
5.4,6088,99,48,6,0,0,0,3,0,1
6.6,6613,16,9,4,1,2,0,2,0,0
4.3,6786,25,71,8,4,0,3,3,1,0
7.0,11596,64,25,1,5,0,3,0,1,0
9.1,5818,75,38,4,3,1,1,1,2,1
5.8,11726,112,57,3,4,1,0,2,2,0
6.8,5163,38,78,2,3,2,2,2,1,1
7.4,7034,27,54,5,4,1,3,1,1,0
5.2,1781,78,56,4,5,3,2,1,1,0
6.4,10169,26,65,8,3,1,0,0,2,1
6.0,17531,31,53,0,3,1,1,2,1,1
6.2,8781,39,0,5,4,0,1,3,2,0
4.5,1711,85,47,3,3,0,3,3,1,1
6.0,18859,41,54,4,3,0,1,0,2,1
7.0,7990,55,25,9,0,2,1,2,1,0
8.9,15163,106,62,6,1,3,2,0,1,2
7.9,9375,35,67,0,2,2,1,2,2,1
10.0,16143,48,77,9,3,0,1,0,1,1
4.5,8094,95,100,1,0,3,3,1,2,1
7.7,8142,31,40,7,0,3,3,3,2,1
6.4,17905,40,32,1,3,1,0,2,2,1
10.0,6886,78,82,3,3,1,3,2,0,1
4.4,8044,21,70,7,3,2,3,3,0,1
4.3,17189,93,47,4,0,3,2,2,1,1
4.8,2790,25,49,4,4,2,1,0,2,0
1.8,16988,93,82,1,3,0,2,3,0,0
4.9,14979,21,32,3,2,1,0,3,0,1
4.5,7517,67,53,0,2,3,0,2,2,1
6.3,3819,54,71,0,0,3,0,2,2,1
6.7,2719,45,4,1,4,1,2,3,2,0
9.8,13936,119,80,2,3,2,0,0,0,2
7.9,19065,117,16,7,5,0,0,1,2,0
4.8,1024,111,3,1,2,3,3,2,2,0
4.2,7793,72,14,0,4,3,1,1,2,0
7.0,13318,39,46,4,5,1,2,2,2,0
3.4,11927,39,47,8,1,2,2,0,1,0
9.7,15392,60,7,8,4,3,2,0,2,0
8.4,9560,13,37,0,5,1,3,3,2,0
5.1,14872,89,85,6,4,3,2,1,0,0
2.6,461,17,64,9,3,1,0,0,1,0
8.7,15975,100,91,6,4,2,3,1,1,0
5.8,2635,88,36,5,3,2,1,1,0,1
8.5,8152,50,90,5,5,0,1,1,0,0
2.8,778,48,64,9,1,2,0,3,2,0
4.8,196,65,68,8,2,1,0,2,1,1
6.0,860,23,85,4,1,3,3,2,2,1
6.1,8513,67,0,6,4,3,1,0,2,0
5.1,9921,113,31,9,5,0,2,1,2,0
7.2,14897,73,53,1,2,2,2,3,0,2
3.9,16395,107,5,6,0,0,0,0,1,0
5.7,2500,19,33,9,4,0,2,0,2,0
6.2,17721,117,9,0,1,1,1,2,0,0
7.0,7732,118,53,6,5,2,0,0,1,0
7.4,1200,110,32,3,0,1,0,3,1,1
3.8,11426,89,30,7,4,1,1,3,0,0
2.9,6246,115,99,6,1,0,1,1,1,0
8.6,13546,82,96,5,2,2,3,3,0,2
6.7,14256,53,41,4,3,2,3,3,0,1
4.5,11529,35,49,8,0,3,2,1,2,1
9.1,15672,28,62,3,0,1,2,1,0,1
6.2,17342,65,72,4,0,3,0,3,0,1
8.4,16846,91,76,6,3,2,0,0,2,2
6.1,6206,58,91,0,0,3,1,1,0,1
10.0,9160,63,48,8,5,3,2,0,0,0
9.5,19161,88,78,2,4,0,1,2,0,0
5.5,8737,91,30,6,5,3,0,0,1,0
7.9,6165,21,20,6,3,0,0,3,1,0
7.3,12625,48,22,5,3,0,2,3,2,0
8.7,8555,111,44,3,3,1,1,3,0,1
4.1,1620,93,13,3,1,0,2,2,0,0
7.4,18557,61,42,7,0,1,1,3,2,1
8.1,13525,47,77,6,4,1,2,1,1,0
2.5,13947,47,100,9,2,0,0,2,1,0
3.6,14036,106,75,2,1,3,1,3,1,0
1.9,1791,62,51,1,4,2,2,2,0,0
5.5,3682,82,10,2,0,0,2,0,2,0
7.4,6488,45,95,0,2,3,1,2,1,1
9.0,9996,78,71,0,5,3,1,1,2,0
6.1,17618,93,57,4,4,2,0,2,0,0
9.3,1606,10,96,2,2,0,3,1,1,1
3.2,4970,94,23,1,5,1,1,1,2,0
2.6,15959,34,23,6,5,3,2,0,2,0
5.9,8185,118,85,0,5,3,2,0,2,0
6.8,8680,38,34,6,5,2,0,1,2,0
5.9,4079,23,60,6,2,2,2,0,0,1
1.9,7486,87,98,0,4,2,3,3,1,0
5.8,2373,98,22,3,0,0,0,0,1,0
3.4,6564,68,15,2,4,2,2,0,0,0
7.3,1996,22,56,9,3,1,3,2,0,1
6.7,8985,44,98,1,2,3,3,0,1,1
4.1,12846,97,47,8,0,0,0,3,0,1
5.0,17040,61,89,9,1,1,3,2,0,1
3.9,10058,39,31,1,1,2,3,1,1,0
5.9,10957,111,27,9,1,3,3,3,2,0
7.9,12214,44,42,4,5,0,2,1,2,0
4.0,3349,21,17,9,1,2,2,2,1,0
7.0,4646,22,4,1,2,0,1,1,1,0
4.9,17246,101,70,0,1,0,0,0,2,1
4.4,15736,45,93,4,2,0,2,0,1,1
5.8,16488,99,42,9,0,1,2,2,1,1
3.9,7537,110,10,9,2,3,2,1,2,0
4.9,13922,101,13,7,2,1,3,2,0,0
3.6,17250,39,86,1,3,2,1,3,0,0
9.9,16685,29,80,3,4,2,2,2,2,0
6.1,8988,57,32,1,4,3,1,1,1,0
4.6,10715,21,11,6,0,1,1,1,1,0
6.4,6803,78,79,3,1,3,0,0,0,1
5.8,17732,28,70,5,0,3,3,2,1,1
5.6,8475,31,99,2,5,3,0,0,0,0
7.2,5077,77,11,5,4,2,0,1,2,0
7.5,8283,20,76,9,3,0,2,0,0,1
4.9,9369,33,86,5,1,3,3,3,2,1
4.8,13873,22,9,7,3,0,2,1,2,0
5.4,6124,89,44,6,5,1,2,0,2,0
1.4,5032,108,98,2,0,0,1,2,0,0
3.0,6004,29,35,9,2,1,2,1,2,0
8.7,17367,74,63,5,2,1,3,3,1,2
9.3,1237,100,6,5,0,1,1,2,2,0
5.5,12039,26,47,8,2,2,3,1,1,1
7.2,12566,32,61,2,0,3,1,0,2,1
6.6,7755,12,39,2,3,3,1,0,1,1
10.0,16539,100,90,1,0,1,2,3,2,2
8.2,9878,59,83,8,2,0,1,2,0,1
5.7,3352,75,55,0,2,3,0,3,1,1
4.1,5059,80,92,5,2,3,2,3,1,1
2.8,13928,64,15,5,3,1,1,2,2,0
6.4,5952,13,54,8,4,1,3,0,2,0
4.5,7000,98,34,4,3,1,1,3,0,1
3.2,12650,64,31,4,4,0,3,0,2,0
4.7,7309,75,89,2,5,3,3,0,0,0
3.8,19796,48,89,9,1,0,0,2,1,0
9.4,3394,61,48,6,5,1,1,1,2,0
7.8,14320,72,66,2,5,0,0,1,1,0
6.0,11363,15,41,8,1,1,1,2,0,1
9.0,19392,21,65,9,0,1,3,0,0,1
6.2,18192,18,38,3,0,2,2,1,0,1
4.3,14805,104,59,5,0,3,2,2,0,1
9.0,7334,22,37,8,4,2,3,0,1,0
7.1,14899,53,32,1,5,3,3,2,2,0
3.9,14390,22,88,6,1,3,0,1,0,0
5.6,14026,98,8,8,5,0,0,2,1,0
4.2,14207,63,74,5,4,0,2,2,1,0
3.2,13586,100,62,2,0,1,1,1,1,0
7.9,11253,109,85,6,2,1,1,3,2,2
9.8,7902,16,72,5,4,3,3,0,0,0
3.2,8858,61,58,4,1,2,1,0,0,0
7.1,1894,64,17,5,1,2,3,0,1,0
4.7,17421,50,82,0,4,1,3,0,2,0
5.0,9348,54,2,7,2,1,1,3,0,0
4.8,15190,24,91,2,2,3,2,0,1,1
4.3,7727,60,44,4,5,0,3,2,1,0
6.1,5529,92,3,0,1,3,2,2,0,0
4.3,10195,43,75,8,2,2,0,3,0,1
6.5,4649,48,28,3,0,0,1,3,1,0
5.9,6502,58,55,2,5,1,0,3,2,0
5.5,6180,61,55,2,3,1,0,2,0,1
4.2,13421,14,4,8,2,3,3,3,1,0
4.8,12775,31,75,0,4,0,0,1,1,0
7.5,5019,60,39,3,5,1,1,1,2,0
7.0,5544,107,51,6,5,1,1,3,2,0
4.0,16189,95,47,8,4,3,2,3,1,0
6.2,1092,43,45,9,5,0,2,3,1,0
7.5,15475,94,13,2,0,2,1,0,0,0
2.7,5081,112,61,5,4,1,1,3,2,0
7.1,11526,50,86,0,2,0,1,0,0,1
4.7,14201,38,19,4,2,3,0,1,2,0
7.1,10017,108,34,7,3,3,2,2,2,2
4.5,7234,96,68,2,3,2,2,0,2,1
2.4,11718,28,53,8,2,3,1,1,1,0
2.7,10395,13,86,3,5,3,1,2,0,0
6.1,11308,63,19,5,2,1,3,2,1,0
6.5,13243,36,54,6,4,0,2,3,2,0
4.2,11790,112,96,2,4,3,3,0,1,0
7.3,17846,86,64,2,0,0,2,2,1,2
2.7,1336,68,57,0,2,1,2,2,1,0
5.9,7396,44,49,3,1,3,3,1,2,1
3.6,18307,97,38,2,0,1,2,3,1,0
4.7,1276,62,38,5,1,0,0,3,0,1
6.1,6899,30,10,6,4,1,1,0,2,0
4.3,8387,22,39,7,0,1,0,1,1,1
5.2,18306,46,95,2,3,0,1,2,2,1
8.0,10194,12,42,4,3,1,1,1,1,1
4.8,6365,15,31,9,0,2,2,0,0,1
7.7,3061,26,51,8,2,0,0,0,2,1
3.7,9740,87,9,6,2,1,0,1,0,0
7.1,13664,62,88,2,3,0,1,0,0,1
8.9,4931,82,24,2,3,3,1,3,1,0
1.1,1013,44,50,5,1,0,1,0,2,0
4.4,10002,82,81,7,1,1,2,0,0,1
7.2,19561,55,33,1,4,2,2,0,1,0
5.6,4652,77,19,3,0,3,2,3,0,0
6.7,7158,82,45,3,2,0,2,1,2,1
4.8,12407,66,15,6,3,2,3,3,1,0
6.2,16208,34,72,1,1,3,1,2,0,1
5.7,9064,101,64,6,2,1,3,2,1,1
8.3,5959,74,36,9,4,2,2,1,1,0
