current_time,fridge_item_count,last_meal_hour,stress_level,snack_type_preference,screen_time_today,snack_choice
2.9,3,3,2,1,5.1,1
3.16,1,3.6,3,0,6.5,1
22.04,6,1.1,0,0,12.6,1
1.06,18,2.7,1,2,9.3,1
0.5,0,7.7,0,0,2.8,2
23.33,11,6,1,1,11,1
22.72,18,4.1,2,3,12.9,1
0.02,11,1,2,2,13.4,1
3.65,8,6,2,0,10,2
23.94,6,4.5,1,1,1.9,1
1.11,0,5.6,2,3,11.4,2
2.21,5,3.8,2,0,14.4,2
0.18,9,1,0,1,4.6,1
3.82,0,5.1,1,1,10.3,2
3.77,17,6.5,3,2,13.4,1
23.51,2,2.5,2,2,1.1,2
0.98,10,5.6,1,1,3.3,2
23.8,13,3.5,0,3,11.9,2
23.71,5,6.8,3,2,10.5,1
22.22,10,4.1,3,1,4,1
1.65,6,1.4,3,1,8.5,1
1.01,7,4.7,0,3,9.5,1
22.31,4,5.3,3,0,4.3,2
23.67,17,3.2,3,3,6.6,2
3.44,14,1.5,3,2,5.9,1
23.43,17,6.3,0,1,12.5,1
22.87,2,4.8,1,2,9.3,2
0.93,9,2.5,1,0,8.1,1
3.9,14,2.3,3,3,14.8,2
23.45,7,4.8,1,3,3.4,1
2.03,7,3.2,2,3,3.2,2
2.56,13,5.8,3,0,7,2
23.42,9,3.4,1,2,3.8,2
2.36,12,4.3,3,1,13.3,2
0.2,9,1.4,2,2,8.3,2
1.79,5,4.2,2,2,1.4,2
1.79,17,1.1,0,0,10.6,1
1.21,15,3.5,3,2,12.2,1
22.54,17,3.2,3,2,4.7,1
3,19,6.3,0,2,8.2,1
23.92,5,6.4,1,0,14.5,2
23.12,8,3.9,0,3,3.6,1
22.24,15,7.8,1,1,4.6,2
1.54,5,2.8,3,3,14.1,1
2.06,10,2.2,2,3,14.6,1
22.1,2,6.7,1,0,6.3,2
1.07,7,4.6,3,1,8.4,1
23.36,0,2.4,1,1,8.6,2
1.86,14,3.3,3,2,9.6,1
23.04,14,1.7,1,2,8.3,1
2.14,18,5.9,2,0,8.6,2
0.32,9,4.5,1,3,1.9,2
3.61,18,4.9,0,2,6.4,1
22.82,8,1.5,3,2,4.9,1
0.04,6,5.9,3,2,11.4,1
22.68,13,3.1,2,0,13.8,1
3.54,1,2.1,0,2,7.5,1
3.26,12,4,2,1,3.5,1
23.55,19,7,3,0,4.8,1
1.95,3,3.6,2,1,3,2
2.9,6,1.8,3,3,11.2,1
1.33,7,7.6,0,1,2.6,1
1.17,15,5.5,3,3,4.5,1
23.45,19,3.1,1,1,9.8,1
22.56,8,5.1,0,3,7.2,2
3.37,10,1.6,0,2,9.6,2
3.39,13,4.9,1,0,14,1
1.79,3,6.7,1,3,10.8,1
0.03,18,2,3,2,2,2
0.09,14,6.8,1,2,8.4,2
2.35,13,4.9,1,2,9.3,1
3.37,15,2.3,1,3,1.4,1
3.31,19,2.5,3,3,1.8,2
2.67,2,7.2,1,0,1.8,1
1.85,5,4.3,2,2,9.9,1
22.5,3,3,0,3,10.1,1
22.97,0,2.8,3,2,10.5,2
3.38,17,3.8,1,2,6.1,1
1.63,7,6.4,2,3,2.9,1
22.06,15,1.2,1,3,8.4,2
22.61,19,1.8,2,0,1.4,1
1.97,15,4.1,0,0,8.5,2
22.03,14,7.4,3,1,7.7,1
22.96,1,7.2,1,1,6.3,2
1.29,11,6.5,2,1,6.2,1
2.14,3,7.9,0,0,8.5,2
1.91,10,1.8,2,0,1.8,1
23.34,1,7.2,3,2,6.8,1
2.27,5,1.1,1,0,6,1
23.42,16,3.9,3,1,5.3,2
23.95,18,2.6,1,0,14,1
2.47,8,3.5,1,2,1.1,2
1.89,4,7.8,1,1,5.8,1
3.09,13,3.3,2,0,9.2,1
1.94,15,5.4,0,1,14,1
1.4,0,5.8,1,3,2.3,1
22.56,19,4.8,0,3,10.8,1
0.2,2,1.6,3,0,13.3,2
23.59,9,7,3,2,3.2,1
23.46,14,6.5,2,3,10.4,1
3.83,2,6.2,0,1,4,1
0.35,0,7.4,1,1,3.1,1
3.34,12,3.4,2,2,14.1,1
1.78,14,5,3,2,2.4,2
2.76,9,6.5,1,2,12.6,1
1.01,2,4.1,1,1,1.5,2
1.46,17,7.7,0,0,10.5,2
0.95,18,6.9,3,2,12.3,2
23.17,4,4.7,3,1,9.5,1
2.33,9,2,1,3,13.6,1
23.68,15,4.5,1,2,10.9,1
22.15,19,2.4,0,0,2.8,2
1.87,17,3.8,2,0,4.8,1
23.06,7,2.9,2,0,10,1
3.63,12,6.7,2,0,7.9,1
3.71,7,2.8,3,3,10.3,1
3.48,12,5.1,0,0,10.6,1
0.22,11,1.4,2,3,10.4,1
22.09,12,6.3,3,0,5,1
3.56,16,4.1,2,1,3.2,2
0.56,14,3.9,3,1,6.6,1
3.79,8,4,0,2,8.6,1
3.77,19,6,2,2,9.2,2
3.11,3,4,3,2,7.8,1
23.76,11,6.2,0,2,1.1,2
0.31,3,3,2,0,11.7,2
3.1,12,7.7,3,2,6.3,1
23.9,2,4.6,2,2,2.3,1
23.02,4,5.1,3,0,1.2,1
1.34,12,5.9,3,0,11.2,1
3.61,13,5.1,1,0,13.4,1
2.17,7,4.9,3,0,12.6,2
1.41,10,1,1,3,2.6,2
22.58,7,4.2,0,0,12.4,2
1.68,11,7.1,2,1,7.9,1
3.93,10,7.5,3,1,13.2,1
22.84,16,3,2,2,10.5,2
1.1,12,6,2,2,3.1,1
3.26,3,7,1,3,2.8,2
2.44,12,4.1,1,2,1.5,1
2.18,8,5.2,1,1,9.8,1
2.21,13,5.5,2,3,2.8,2
0.15,11,7.6,3,3,13.3,1
23.76,12,4.4,2,3,12.1,1
2.85,7,6.4,0,1,9.6,2
2.85,4,2.3,1,2,13.9,2
3.19,10,5.1,1,2,14.8,1
3.47,19,4.2,1,3,7.5,1
1.06,5,2.6,3,0,8,2
1,6,1.1,1,0,3.9,2
2.78,14,5.1,2,1,14.1,1
1.89,4,6.7,1,2,9,1
2.2,8,6.7,1,0,7.9,1
2.77,19,3.7,3,0,5.4,1
3.33,18,2.3,0,1,5.8,1
0.02,4,7.6,2,2,11.1,1
0.25,12,3.7,1,0,2.4,1
22.56,11,3.4,1,2,13.8,1
1.46,4,5.3,2,3,1.2,2
22.22,6,4.1,0,3,1.8,2
0.79,2,3.4,0,2,12.2,1
1.25,12,3.3,0,0,2.4,1
23.72,10,3.7,1,2,1.2,1
1.54,9,5.8,3,1,5.4,2
22.18,8,1.1,2,2,3.4,1
22.22,5,2.4,2,1,5.8,1
2.93,13,2.8,2,0,9.2,1
0.16,9,8,3,0,5.9,1
22.76,16,7.2,1,3,11.3,1
1.13,1,3.9,1,3,10.5,1
2.61,1,5.9,3,0,8.3,2
23.29,3,2.7,1,3,8.9,1
1.73,6,7.6,3,1,3.6,1
22.51,19,7.5,1,0,2.7,1
22.31,3,2.1,3,3,11.5,2
1.18,7,7.5,0,1,10.1,1
1.24,13,3.9,2,0,7.9,1
1.82,19,4.4,0,3,4.9,1
2.35,2,5.8,1,2,1.7,1
3.85,10,4.4,3,3,6,1
1.09,2,5,1,2,12.7,2
23.93,4,4.1,3,0,7,1
2.76,15,1.5,1,2,7.3,1
23.62,10,4.9,0,0,10.4,2
0.63,0,1.3,0,0,1.7,2
22.47,8,1.7,2,3,13.7,1
22.15,4,5.8,2,2,3.8,2
3.77,19,4.3,3,1,2.8,1
3.01,10,4.8,2,1,7.1,1
2.17,1,2.2,1,3,10.5,2
0.45,9,5.8,3,0,1.4,1
23.04,4,1.5,1,2,12.1,1
22.94,16,2.8,2,2,13.1,2
23.5,11,7.3,3,3,1.9,1
1.29,2,1.2,2,2,9.4,1
2.28,6,6.2,1,0,5.5,1
1.95,10,2.1,0,1,8.2,2
23.68,10,6.8,1,2,3.8,1
3.72,11,5.3,0,3,13,2
2.42,4,1.2,0,3,9.9,1
1.32,9,1.1,1,2,1.3,1
1.66,11,5,0,2,9.7,1
0.51,13,6.6,1,2,13,2
23.48,0,6,0,1,3,2
0.13,13,3.1,1,3,2.1,1
2.54,6,6.1,0,1,10.4,1
22.09,9,2.9,1,2,3,1
22.7,11,4.5,3,3,14.4,2
22.28,5,2.5,3,3,11.3,1
22.24,15,1.8,3,2,1.6,2
3.12,9,7.7,3,2,13.2,1
2.21,19,5.5,2,3,9.3,2
0.84,11,2.6,2,0,2,1
22.59,9,1.9,0,3,5.3,1
0.94,9,2.8,2,0,7.8,1
0.84,10,3.6,0,0,1.9,2
23.04,8,7.1,0,0,14.7,1
0.6,8,5.8,2,1,13.2,2
0.39,11,3.5,3,2,1.6,1
1.69,1,3.3,0,2,6.1,2
1.8,13,2.7,3,2,2.1,1
22.27,8,1.8,0,0,11.2,2
0.24,17,7,0,1,8.1,1
1.75,12,4.3,2,0,5.1,2
1.01,15,7.6,3,1,7.4,1
3.13,12,6.5,2,1,1.2,1
1.95,7,5.9,0,1,12,1
22.98,11,3.4,2,0,9.7,2
22.42,18,4.3,2,0,4.5,1
1.85,9,2.7,3,2,13.5,1
22.16,1,6.6,1,3,4.6,1
1.51,14,4.3,1,1,10.6,2
3.63,16,6.5,1,1,3.8,2
1.45,5,1.6,0,1,10.8,1
0.33,2,3.2,3,2,6.3,2
1.85,10,1.6,2,0,12,2
0.74,4,5.1,3,1,12.2,1
1.27,12,6.1,3,2,11.8,1
3.64,15,6.5,1,2,1.8,1
0.31,9,3.6,2,3,1.3,2
3.76,12,2,0,0,3.9,2
3.42,10,7.8,0,3,9.6,1
23.17,15,2.3,2,1,11.6,2
22.42,5,3.3,2,3,13.2,2
22.6,0,3.1,1,1,13.6,2
22.11,7,6.4,3,1,7.7,1
22.57,19,6.9,0,3,5.7,1
2.09,16,3,0,1,9.9,1
22.43,9,3,1,3,10.3,1
23.91,1,5.8,3,3,8.4,1
3.06,18,7,2,0,2.7,1
22.14,5,2.1,1,1,3.5,2
2.88,1,7.9,0,2,12.3,1
23.69,17,5.8,1,0,5,1
22.71,13,3.1,2,1,14,2
2.17,5,6.4,3,3,11.8,2
1.77,11,1.3,0,3,10.9,1
3.26,19,7.4,2,2,5.4,2
2.4,7,4.3,1,0,7.3,1
2.81,2,2.5,3,3,11.7,1
23.69,4,5.7,3,1,2.1,2
23.06,16,1.7,0,0,9,1
2.5,19,4.3,0,2,7.2,1
2.83,4,7.6,3,0,2.1,1
3.93,13,5.5,3,2,2.2,1
0.47,19,1.7,0,0,14.9,2
0.23,13,7.1,3,2,4.8,1
2.65,8,6.8,2,2,14,2
0.04,7,6.2,0,2,12.4,1
3.58,10,2.1,2,0,9.5,2
3.14,17,5.3,3,1,7.9,2
0.57,8,6.5,2,2,2.7,1
2.5,1,6,3,1,10,1
2.52,1,3.3,1,0,9.9,1
22.62,5,7.6,3,1,1.3,1
3.41,5,2.4,0,3,11.5,2
1.03,10,4.1,1,3,1.1,1
2.95,9,3.9,0,2,2.4,2
23.92,12,7.3,0,2,10.7,1
3.36,18,2.5,0,1,1.1,2
0.33,1,6.4,1,1,10.6,1
22.06,19,4.7,0,1,2.2,2
3.42,13,5.3,0,0,8.6,1
22.55,0,1.1,3,2,4.8,2
23.91,11,5.7,3,3,11.2,2
3.69,17,2.6,1,2,1.4,1
3.69,15,4.2,0,3,1.5,2
1.43,4,4.3,0,2,14.7,1
1.78,18,7.7,2,0,14.2,2
0.69,13,4.3,1,3,11.4,1
23.76,10,3.9,3,0,9.1,1
23.97,16,6.3,0,1,8.2,2
2.03,14,3.9,3,3,12.4,1
2.51,15,7.1,3,1,7.7,2
2.74,13,4.7,2,1,6.1,2
2.73,16,7.1,3,2,5.8,2
22.55,3,5.7,3,2,13.1,1
0.96,13,5.6,3,2,10,1
22.34,3,5,1,0,11.9,1
1.29,2,4.5,1,0,3.2,1
0.64,3,3.5,0,2,5.5,1
3.32,5,6.6,3,3,9.2,2
0.1,3,5.5,2,1,2.6,2
22.7,6,1.7,0,1,2.1,1
22.86,6,5.7,2,3,3.1,1
2.56,17,1.3,2,3,9.9,1
1.7,11,7.8,0,2,14.9,1
22.61,15,3.2,2,2,12.9,1
22.5,5,1.8,1,3,10.7,1
2.2,4,2.6,0,2,6.2,2
22.44,9,7.7,2,0,3,1
2.92,16,4.5,3,2,10.1,1
2.23,2,7.8,0,1,7.8,1
22.49,8,3.3,2,3,13.1,2
22.51,9,1.3,2,2,11.8,1
3.91,9,7.4,2,3,8.4,1
0.24,5,7.4,2,2,8.2,1
0.22,3,3.5,2,3,1.3,1
2.87,10,5.6,0,3,1.9,2
3.67,19,2.8,0,0,3.6,1
3.91,8,5.4,3,2,9.7,1
2.51,11,1.4,2,3,6.8,2
0.25,9,3.4,1,2,13.4,1
22.5,5,3.7,2,1,14.6,2
2.66,12,3.2,0,3,11.5,1
1.34,4,4.4,0,1,9.9,2
0.54,3,5.6,0,2,7.6,2
3.43,2,4.5,1,0,4,2
22.67,4,4.1,1,0,13.7,1
0.95,17,5.6,1,3,3.5,2
22.07,2,6.9,0,0,13.6,2
0.81,4,4.1,0,0,13.3,1
22.34,8,4.3,0,0,2.6,1
22.71,5,7.1,0,0,7.9,1
22.7,14,1.1,2,3,9,2
1.89,17,3.9,1,1,7.4,2
2.47,7,1.2,2,3,2.3,2
1.49,11,3.6,3,3,7.1,1
3.76,5,2.8,1,0,8.2,2
0.25,7,4.9,2,3,2.2,2
23.71,14,4.3,2,2,9.2,1
3.2,15,1.7,2,0,9.1,1
23.34,4,4.7,0,3,12.3,1
3.77,10,5.9,2,0,10.1,2
22.07,16,1.4,0,0,12.1,1
3.81,12,1.2,0,3,9.9,1
22.26,19,7.2,2,2,13.6,1
3.34,15,5,0,1,8.6,2
1.16,17,1.8,3,2,10.8,2
3.95,12,6,2,0,8.1,2
22.44,2,7,1,1,13.9,2
1.32,2,7.8,3,1,11.1,2
3.81,5,6.8,1,2,6.2,1
1.13,14,6.3,3,2,2.2,1
1.77,18,7.1,0,3,1,1
2.17,2,4.4,3,3,9.8,2
0.72,2,4.4,2,2,5.3,1
1.76,2,5.7,0,0,10.3,1
1.5,17,7.1,2,1,5.6,1
3.4,7,2.5,2,1,3.7,1
22.27,15,4,0,0,14.7,1
23.68,2,6.3,0,1,3.6,1
3.69,10,3,0,1,6.6,2
3.33,15,1.4,3,3,7.4,1
0.73,1,3.9,3,3,11.6,1
1.71,0,7.8,3,2,11.7,1
23.66,7,5.5,2,2,2.7,1
23.13,11,6.4,0,2,6.3,1
0.78,18,1.7,0,2,13.2,2
0.12,17,4.7,2,0,8.7,1
1.5,17,7.1,2,3,2.1,1
22.47,10,7.2,3,2,10.4,2
3.84,17,7.9,1,3,5.1,1
3.91,5,6.8,0,1,14.7,1
2.18,0,7.1,1,0,6.2,1
1.21,8,2.4,2,0,5.7,1
23.85,19,1.2,3,3,6.7,1
2.87,15,5.6,1,3,2.6,1
2.1,4,5.8,0,1,14.2,1
22.97,18,7.4,0,0,1.7,2
3.46,16,4.9,3,0,11.9,1
2.93,7,4,1,3,11.5,1
3.69,18,7.5,0,1,14.2,1
2.35,17,2.4,0,1,5.1,1
1.67,11,4.3,0,1,3.3,1
0.51,15,1.3,2,3,3.7,1
3.59,13,6.6,0,3,1.2,1
3.19,3,5.4,2,1,1.3,1
22.27,7,3,2,0,11.4,1
22.16,11,4.8,2,0,10.6,1
0.26,10,5.8,1,2,7.1,1
2.86,12,6.5,0,2,14,2
3.91,7,1.7,3,0,8.5,2
22.9,17,2.3,1,0,1.6,1
1.56,12,4.7,2,1,14.3,1
0.28,3,6,3,2,11.1,2
3.81,0,7.2,2,3,1.1,1
3.04,9,4.8,3,1,7.2,1
3.02,5,3.1,3,1,7.7,2
0.81,10,7,0,0,7.8,1
0.48,6,7.7,2,1,6.8,1
23.64,9,2.7,0,1,13.7,2
22.34,11,5.2,1,0,4.8,2
3.18,5,3.3,2,1,6.7,1
2.87,5,7,2,2,3.2,1
3.99,3,3.9,3,1,6.7,1
3.97,1,7.4,1,0,6,1
1.33,6,4.3,3,1,9.4,1
2.61,6,6.1,1,3,7.2,1
3.66,1,3.4,2,0,3.7,2
3.09,9,4.7,3,3,14.3,2
23.48,13,5.8,0,3,6.4,1
0.7,4,2.3,2,1,8.5,1
22.77,19,2.2,0,0,14.7,1
3.71,7,1.6,3,3,4.4,1
1.63,19,3.5,2,3,3.7,2
23.37,17,5.1,0,2,6.8,2
2.02,4,1.8,3,3,12,2
1.7,3,2,1,2,14.5,2
0.15,18,6.5,3,3,6.7,1
22.68,10,4.1,0,3,9.6,1
2.02,4,1.6,0,1,14.1,2
1.12,15,3.2,1,2,11.6,1
2.63,8,4.2,1,2,12.1,2
1.12,5,2.7,0,3,12.7,2
3.1,7,5.7,3,3,14.6,1
1.31,0,6.6,1,1,8.9,1
1.36,0,6.4,1,1,11.9,1
3.25,4,5,0,0,8.2,2
0.42,17,4.2,2,1,3.2,1
22.8,3,7.5,0,0,6.5,1
22.17,15,1.8,1,1,8.4,2
2.52,19,4.6,3,3,1.1,2
1.72,18,3.2,0,1,11.4,1
2.22,6,4.1,2,1,3,1
23.28,14,5.5,0,2,6.9,2
22.82,17,5,1,3,10.4,1
22.09,8,6,3,0,1.1,1
0.1,6,1.1,1,3,14,1
1.53,0,4.4,3,3,13.9,2
0.35,12,5.8,3,1,10.3,1
0.62,3,6.6,3,1,9.8,1
3.42,1,1.8,0,0,11.6,1
0.09,9,3.2,1,1,6.2,2
1.08,4,5.1,1,0,9.1,2
2.69,2,3.7,0,3,12.6,2
0.38,4,3.7,0,0,13.5,2
1.73,10,2.1,1,0,2.7,1
3.17,17,2.5,2,0,7.3,2
3.69,19,3,2,0,13.5,1
22.88,1,6,1,0,1.4,1
3.55,15,3.9,3,1,6.5,1
0.95,17,2.5,1,3,9.7,1
23.55,5,1.4,1,3,8.6,1
0.75,14,4.9,3,1,14.4,2
3.87,11,2.4,3,1,12.7,1
0.95,3,5.1,3,2,10.2,1
23.97,11,4.8,3,1,3.7,1
1.79,10,3.4,2,1,6.8,2
23.44,8,2.6,1,1,5.6,1
22.45,0,4.1,0,3,8,1
22.77,17,3.3,0,2,7,1
22.77,5,3.3,0,1,10.9,1
22.91,11,7.6,2,2,12.4,2
22.83,2,5.1,0,1,8.6,2
1.84,0,5.6,2,1,11.5,2
23.09,6,2.4,3,3,11.3,1
0.07,17,3.8,3,0,7,1
3.37,11,2.8,1,1,2.2,1
0.84,19,7.5,2,2,9.3,2
2,15,4.2,1,0,9.4,1
23.03,19,7.4,2,3,1.8,2
23.15,6,4.5,1,0,8.2,1
22.24,16,7.8,3,1,1.3,2
23.01,3,5.8,0,2,4.5,1
23.67,9,5.1,1,0,3.1,2
23.06,5,5.6,1,1,10.2,1
22.53,1,1.7,3,3,2.7,1
22.72,3,5.4,0,2,9.8,1
0.76,17,3.1,2,1,5.8,2
23.24,0,6.4,2,1,12.4,1
0.18,0,3.8,0,2,9.1,1
1.02,15,7.1,1,2,12.3,1
2.14,12,3.5,1,1,13.5,2
22.24,13,3,1,2,1.8,1
2.79,10,4.5,2,3,14.5,1
1.76,19,4.2,3,1,2.6,1
22.49,7,1.4,2,2,9,1
3.23,9,6.4,3,2,8.2,1
3.52,15,3.7,1,2,9.9,1
22.37,6,4.2,1,3,8.2,2
23.66,4,6,3,0,1.5,1
2.83,9,1.3,1,2,3.5,2
2.48,17,2.8,3,2,13.6,2
23.11,6,2.5,3,3,12.3,1
23.25,3,4.7,2,3,9.3,1
0.22,9,7,3,2,4.9,1
0.9,17,4.3,0,0,8.8,1
1.7,17,3.1,2,2,7.6,1
0.21,2,1.7,1,3,13.7,2
0.77,12,1,3,3,2.5,1
2.48,13,3,0,0,1.8,2
22.22,13,4.3,2,3,2.3,2
23.51,0,3.5,2,2,12,1
2.27,4,4.2,1,2,7.1,2
3.36,9,4.1,3,2,10.2,2
1.06,13,4.2,0,0,2.1,2
1.19,18,5.7,0,3,3.2,2
22.64,6,3.6,1,2,9.3,1
0.68,14,6.7,0,2,11.7,2
1.19,8,6.6,2,2,6.9,1
23.45,9,2.6,3,3,6,2
23.61,7,1.8,0,2,5.5,2
0.26,8,7.3,0,2,13,1
22.12,10,2.2,2,2,10,2
23.93,7,5.5,2,2,4.6,2
23.27,17,7.1,2,2,14.2,1
23.96,4,1,1,3,1.8,1
22.72,7,2.9,2,0,7.8,1
3.33,1,3,1,0,4.7,1
1.56,17,5.8,0,1,11,2
2.07,18,5.5,2,0,13,1
2.73,17,4.9,0,3,4.9,2
0.99,19,7.4,1,2,3.5,1
22.52,15,7.9,0,2,7,1
1.22,3,1.5,1,1,12.3,1
1.52,16,7.1,0,0,8.7,1
2.47,5,2.5,0,3,2.1,1
0.59,11,2.1,1,3,13,1
22.76,6,6.5,2,0,3.3,1
23.7,13,5.4,3,1,6.1,1
0.17,11,1.4,0,2,10.8,1
1.87,19,2.5,2,3,2.6,1
1.42,1,6,2,1,4,2
0.13,3,1.1,1,0,12.7,2
3.91,7,3,3,1,11.8,1
1.63,9,4.2,0,1,10.9,1
23.42,16,7.4,2,3,8.7,1
22.61,6,7,1,1,10.7,1
22.92,9,2.5,1,2,2.1,2
23.47,16,3.1,2,2,7.3,1
22.96,15,4.6,2,2,2.6,2
23.12,12,4.1,2,3,3.2,2
23.71,17,6.4,1,1,12.3,1
23.04,4,7.7,0,3,5.4,2
3.37,7,5.4,2,2,3.2,1
22.48,6,1.8,2,0,5.7,2
1.14,17,4.1,0,1,9.8,2
0.46,5,4.8,0,0,14.3,1
3.88,12,7.7,0,2,8.9,1
22.67,8,3.4,2,1,4.2,1
0.38,7,5.7,2,1,2.8,2
3.81,11,1.1,0,1,5.8,1
3.18,9,4.1,2,0,3.2,1
2.89,6,1.3,0,1,3.3,1
23.54,6,2.7,0,2,1.1,2
23.02,16,4.3,3,3,13.1,1
2.01,4,5.1,1,3,3.4,1
3.57,9,7.1,2,1,10.4,1
1.34,19,2.3,0,2,4.2,1
1.42,14,3.2,0,2,3.3,2
23.68,12,4.9,2,0,12.6,1
2.61,13,2.5,3,1,4.5,1
23.12,16,7.4,3,0,14.3,1
23.94,6,7.1,0,3,1.7,1
0.55,3,7.2,2,3,10.7,2
1.04,8,6,1,2,3.9,1
23.45,18,8,1,0,6.9,1
22.69,13,6.8,3,3,8.7,2
1.66,2,4.5,0,3,8.9,1
23.73,3,6.2,2,2,8.6,1
1.48,1,1.7,2,0,5.1,1
22.92,7,7.4,0,0,12.4,1
0.88,1,7.9,2,0,13,1
1.19,3,7,2,3,4,1
22.31,1,1.2,0,3,9.7,2
0.02,3,2.2,3,1,13.4,1
22.81,8,1.7,2,3,9.4,1
22.38,1,4,1,0,2.7,1
3.93,19,1.3,1,3,2.1,1
23.93,16,7.6,1,2,10.6,1
2.85,0,5.1,2,1,7.2,1
23.53,5,5,1,1,12.6,2
